geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,6080460,5007980,5538310,3929170,2474600,1322900,894390,153620,5520,25406940
NATL,N/A,E92000001,ENGLAND,5870880,4708460,5228880,3699580,2284530,1207640,841890,140870,..,23982720
REGL,N/A,E12000001,NORTH EAST,662000,189480,180420,99810,51070,22180,12690,1420,..,1219080
LAUA,1355,E06000047,County Durham UA,143370,31990,29790,20620,10030,3900,2140,270,..,242110
LAUA,1350,E06000005,Darlington UA,22700,10170,7140,5190,2960,1200,550,50,..,49960
LAUA,0724,E06000001,Hartlepool UA,23950,7320,6150,3190,1640,660,440,60,..,43410
LAUA,0734,E06000002,Middlesbrough UA,33270,10570,10690,4920,2240,770,510,50,..,63020
LAUA,2935,E06000057,Northumberland UA,70530,23950,19420,15950,10420,6550,4040,520,..,151390
LAUA,0728,E06000003,Redcar and Cleveland UA,26650,13150,13900,5530,3190,880,400,30,..,63720
LAUA,0738,E06000004,Stockton-on-Tees UA,34980,16390,15630,9470,5450,2290,1290,120,..,85630
CTYMET,N/A,E11000007,Tyne and Wear (Met County),306550,75940,77700,34930,15150,5940,3330,320,..,519860
LAUA,4505,E08000037,Gateshead,56440,12700,15030,5600,2270,820,370,50,..,93280
LAUA,4510,E08000021,Newcastle upon Tyne,74760,19820,18580,8700,4440,2220,1670,130,..,130310
LAUA,4515,E08000022,North Tyneside,49970,15370,18860,7570,3550,1160,350,40,..,96860
LAUA,4520,E08000023,South Tyneside,45990,9910,8300,4420,1750,700,330,40,..,71440
LAUA,4525,E08000024,Sunderland,79390,18130,16930,8650,3140,1050,620,60,..,127960
REGL,N/A,E12000002,NORTH WEST,1344310,653340,568940,329850,191560,93420,61170,6760,..,3249360
LAUA,2372,E06000008,Blackburn with Darwen UA,35360,9270,8330,4270,2000,770,580,70,..,60650
LAUA,2373,E06000009,Blackpool UA,31900,20840,11260,4620,1830,550,250,30,..,71280
LAUA,0660,E06000049,Cheshire East UA,30320,35730,33710,25330,19590,13420,12040,1810,..,171960
LAUA,0665,E06000050,Cheshire West and Chester UA,33890,36230,30460,20810,15720,9470,7470,590,..,154630
LAUA,0650,E06000006,Halton UA,26490,12090,7890,4860,3560,1110,390,40,..,56410
LAUA,0655,E06000007,Warrington UA,26670,20320,19220,11680,7150,4450,2620,210,..,92320
CTYMET,N/A,E10000006,Cumbria,92690,47810,41250,30890,19050,8600,4240,410,..,244930
LAUA,0905,E07000026,Allerdale,22110,7690,7200,5300,2900,1070,460,30,..,46780
