geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,6006370,4927690,5439300,3852510,2417450,1292820,877420,149660,5450,24968660
NATL,N/A,E92000001,ENGLAND,5798020,4630120,5133270,3626080,2230770,1179450,825620,137120,..,23560440
REGL,N/A,E12000001,NORTH EAST,658400,184670,176670,97020,49120,21380,12350,1410,..,1201030
LAUA,1355,E06000047,County Durham UA,143470,30650,29140,20040,9800,3780,2070,260,..,239210
LAUA,1350,E06000005,Darlington UA,22570,9990,7010,5090,2890,1160,530,50,..,49290
LAUA,0724,E06000001,Hartlepool UA,24010,7160,5950,3080,1580,610,430,60,..,42870
LAUA,0734,E06000002,Middlesbrough UA,33020,10200,10570,4770,1950,670,470,50,..,61700
LAUA,2935,E06000057,Northumberland UA,70290,23380,18990,15360,10070,6410,3930,510,..,148930
LAUA,0728,E06000003,Redcar and Cleveland UA,26620,12990,13700,5340,3070,870,390,30,..,63000
LAUA,0738,E06000004,Stockton-on-Tees UA,34970,16100,15320,9290,5270,2140,1280,120,..,84470
CTYMET,N/A,E11000007,Tyne and Wear (Met County),303460,74210,76000,34060,14490,5740,3260,330,..,511560
LAUA,4505,E08000037,Gateshead,56370,12480,14790,5510,2200,810,370,50,..,92560
LAUA,4510,E08000021,Newcastle upon Tyne,72460,19330,18060,8540,4260,2130,1630,130,..,126530
LAUA,4515,E08000022,North Tyneside,49710,15140,18550,7410,3300,1100,340,40,..,95590
LAUA,4520,E08000023,South Tyneside,45930,9620,8010,4240,1710,680,320,50,..,70570
LAUA,4525,E08000024,Sunderland,78990,17640,16600,8370,3020,1030,610,60,..,126320
REGL,N/A,E12000002,NORTH WEST,1332380,641880,560460,323860,187100,91260,60280,6650,..,3203860
LAUA,2372,E06000008,Blackburn with Darwen UA,35340,9200,8300,4230,2000,770,560,70,..,60480
LAUA,2373,E06000009,Blackpool UA,31840,20770,11210,4590,1820,550,250,30,..,71060
LAUA,0660,E06000049,Cheshire East UA,29710,35020,33130,24670,19100,13100,11870,1780,..,168370
LAUA,0665,E06000050,Cheshire West and Chester UA,32810,35660,29790,20240,15320,9120,7280,570,..,150790
LAUA,0650,E06000006,Halton UA,26080,11910,7790,4760,3410,1070,370,40,..,55430
LAUA,0655,E06000007,Warrington UA,26460,19970,19040,11510,6880,4400,2590,200,..,91050
CTYMET,N/A,E10000006,Cumbria,92350,46810,40570,30360,18690,8430,4230,400,..,241840
LAUA,0905,E07000026,Allerdale,22040,7450,7020,5170,2850,1050,470,30,..,46060
LAUA,0910,E07000027,Barrow-in-Furness,19770,5440,4640,2300,970,240,70,10,..,33440
LAUA,0915,E07000028,Carlisle,22310,11600,7450,5280,2580,1070,350,30,..,50670
LAUA,0920,E07000029,Copeland,19240,4550,4060,3070,1810,440,90,20,..,33270
LAUA,0925,E07000030,Eden,4230,6980,5280,4620,3220,1030,390,50,..,25790
LAUA,0930,E07000031,South Lakeland,4760,10800,12130,9930,7260,4610,2860,270,..,52610
CTYMET,N/A,E11000001,Greater Manchester (Met County),554040,230700,205530,107730,56110,23670,14790,2010,..,1194570
LAUA,4205,E08000001,Bolton,63790,21320,18180,10340,5360,2200,1790,230,..,123210
LAUA,4210,E08000002,Bury,29930,18070,17020,8850,5280,1780,1260,180,..,82350
LAUA,4215,E08000003,Manchester,130840,37460,31330,14880,5350,1990,770,100,..,222730
LAUA,4220,E08000004,Oldham,50220,16770,15770,6620,3230,1490,860,70,..,95030
LAUA,4225,E08000005,Rochdale,51060,15100,11630,7650,4150,1610,860,50,..,92100
LAUA,4230,E08000006,Salford,59610,23910,15640,7720,3340,1390,830,100,..,112540
LAUA,4235,E08000007,Stockport,30820,27340,27740,18990,12500,6080,3290,180,..,126940
