geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,5876060,4720060,5222940,3684490,2321600,1239710,849570,139610,5220,24059260
NATL,N/A,E92000001,ENGLAND,5671710,4428710,4927450,3467410,2143210,1131620,799660,127590,..,22697350
REGL,N/A,E12000001,NORTH EAST,658740,172080,169550,92190,46410,20210,11700,1280,..,1172160
LAUA,1355,E06000047,County Durham UA,142820,28150,27680,18560,9240,3500,1970,250,..,232160
LAUA,1350,E06000005,Darlington UA,22450,9620,6660,4930,2730,1100,480,50,..,48020
LAUA,0724,E06000001,Hartlepool UA,24360,6280,5650,2880,1410,570,410,50,..,41590
LAUA,0734,E06000002,Middlesbrough UA,33390,9440,10110,4490,1870,640,430,50,..,60400
LAUA,2935,E06000057,Northumberland UA,69450,22640,18350,14820,9650,6200,3800,460,..,145380
LAUA,0728,E06000003,Redcar and Cleveland UA,26990,12180,13530,5030,2920,840,380,20,..,61890
LAUA,0738,E06000004,Stockton-on-Tees UA,35510,14740,14340,8870,4990,2000,1170,100,..,81730
CTYMET,N/A,E11000007,Tyne and Wear (Met County),303770,69020,73230,32610,13600,5360,3070,310,..,500970
LAUA,4505,E08000037,Gateshead,58050,11350,14080,5240,2100,760,350,40,..,91960
LAUA,4510,E08000021,Newcastle upon Tyne,71360,18040,17550,8160,3980,1890,1470,120,..,122560
LAUA,4515,E08000022,North Tyneside,49280,14350,18080,7180,3080,1030,340,40,..,93390
LAUA,4520,E08000023,South Tyneside,45960,9060,7510,3980,1580,700,320,50,..,69160
LAUA,4525,E08000024,Sunderland,79110,16230,16010,8060,2860,980,590,60,..,123900
REGL,N/A,E12000002,NORTH WEST,1321270,613660,545960,315060,181980,88770,59620,6250,..,3132580
LAUA,2372,E06000008,Blackburn with Darwen UA,35110,8590,8120,4210,2060,790,550,70,..,59490
LAUA,2373,E06000009,Blackpool UA,30870,20340,11200,4580,1840,540,270,30,..,69660
LAUA,0660,E06000049,Cheshire East UA,28790,33750,32640,24140,18680,12760,11820,1680,..,164250
LAUA,0665,E06000050,Cheshire West and Chester UA,31780,34360,28820,19520,14940,8770,7150,530,..,145870
LAUA,0650,E06000006,Halton UA,25800,11420,7800,4530,3220,960,330,40,..,54100
LAUA,0655,E06000007,Warrington UA,26100,18570,18510,11000,6470,4240,2490,180,..,87550
CTYMET,N/A,E10000006,Cumbria,91490,45010,39340,29550,18120,8310,4260,410,..,236490
LAUA,0905,E07000026,Allerdale,21890,7030,6740,4970,2740,1040,480,30,..,44910
LAUA,0910,E07000027,Barrow-in-Furness,19710,5450,4570,2230,940,230,70,10,..,33210
LAUA,0915,E07000028,Carlisle,22080,11100,7030,5030,2470,980,330,30,..,49050
LAUA,0920,E07000029,Copeland,19190,4310,3950,2950,1710,430,90,20,..,32650
LAUA,0925,E07000030,Eden,4090,6650,5110,4520,3130,1010,380,50,..,24940
LAUA,0930,E07000031,South Lakeland,4540,10450,11950,9860,7130,4630,2910,280,..,51740
CTYMET,N/A,E11000001,Greater Manchester (Met County),552560,219620,198230,104400,54440,22930,14540,1900,..,1168630
LAUA,4205,E08000001,Bolton,62600,20370,18000,10160,5170,2110,1760,230,..,120390
LAUA,4210,E08000002,Bury,29390,17660,16740,8730,5200,1780,1270,180,..,80950
LAUA,4215,E08000003,Manchester,131200,34060,28850,14120,5140,1930,750,110,..,216160
LAUA,4220,E08000004,Oldham,51110,16170,15050,6400,3110,1420,830,70,..,94160
LAUA,4225,E08000005,Rochdale,51250,14220,11140,7350,3940,1540,860,50,..,90340
LAUA,4230,E08000006,Salford,59470,20930,14440,6860,3270,1350,820,110,..,107230
LAUA,4235,E08000007,Stockport,30500,27040,27430,18750,12430,5930,3230,170,..,125470
LAUA,4240,E08000008,Tameside,51850,17870,18250,6130,3270,840,370,40,..,98630
LAUA,4245,E08000009,Trafford,18730,20590,25760,14440,7500,4320,4120,900,..,96350
LAUA,4250,E08000010,Wigan,66470,30710,22570,11450,5420,1730,560,50,..,138940
CTYMET,N/A,E10000017,Lancashire,195660,99720,95900,62100,36790,17370,10020,740,..,518310
LAUA,2315,E07000117,Burnley,25280,4770,6100,2730,1270,330,140,20,..,40630
LAUA,2320,E07000118,Chorley,14290,10160,8550,5790,4190,1680,730,60,..,45460
LAUA,2325,E07000119,Fylde,6520,5910,8580,6760,4410,2340,1500,80,..,36100
LAUA,2330,E07000120,Hyndburn,21570,5130,5550,2770,880,280,170,20,..,36370
LAUA,2335,E07000121,Lancaster,21600,15510,11680,6030,3720,1830,840,70,..,61270
LAUA,2340,E07000122,Pendle,24870,4430,4240,2990,1730,950,520,40,..,39760
LAUA,2345,E07000123,Preston,27330,11940,9540,6270,2510,1210,880,50,..,59730
LAUA,2350,E07000124,Ribble Valley,3410,4690,4770,4410,3250,2030,1850,190,..,24610
LAUA,2355,E07000125,Rossendale,15810,4690,3860,3230,1850,640,440,40,..,30550
LAUA,2360,E07000126,South Ribble,9780,12430,11820,7350,3800,1470,480,20,..,47150
LAUA,2365,E07000127,West Lancashire,14320,8520,9330,6580,4570,2380,1490,80,..,47270
LAUA,2370,E07000128,Wyre,10900,11550,11860,7200,4620,2240,980,70,..,49420
CTYMET,N/A,E11000002,Merseyside (Met County),303110,122290,105400,51030,25420,12100,8200,680,..,628230
LAUA,4305,E08000011,Knowsley,37110,13030,8730,3870,1470,280,130,20,..,64630
LAUA,4310,E08000012,Liverpool,132400,35360,25410,13080,4780,2180,1600,130,..,214940
