geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,5720380,4317330,4712350,3196630,1987440,1012950,733310,111700,..,21792090
NATL,N/A,E92000001,ENGLAND,5463180,3996030,4462600,3010730,1843090,962120,701540,108640,..,20547920
REGL,N/A,E12000001,NORTH EAST,671260,152210,149560,69780,34370,15810,9130,1050,..,1103180
LAUA,1355,E06000047,County Durham UA,144560,23180,22550,12520,6380,2600,1580,220,..,213590
LAUA,1350,E06000005,Darlington UA,22260,8310,5320,3650,1810,870,380,60,..,42670
LAUA,0724,E06000001,Hartlepool UA,24640,5520,4550,2030,820,290,150,20,..,38010
LAUA,0734,E06000002,Middlesbrough UA,34260,8560,9400,3780,1630,570,300,30,..,58530
LAUA,2935,E06000057,Northumberland UA,68980,21370,15950,11180,7530,5160,3210,360,..,133740
LAUA,0728,E06000003,Redcar and Cleveland UA,28290,11740,12720,4170,2150,620,310,20,..,60020
LAUA,0738,E06000004,Stockton-on-Tees UA,36120,12930,12520,6040,3130,1220,550,50,..,72570
CTYMET,N/A,E11000007,Tyne and Wear (Met County),312140,60600,66550,26410,10930,4500,2650,280,..,484060
LAUA,4505,E08000037,Gateshead,58810,9890,12260,4140,1660,580,270,40,..,87650
LAUA,4510,E08000021,Newcastle upon Tyne,75500,16560,16530,6700,3330,1540,1300,110,..,121570
LAUA,4515,E08000022,North Tyneside,48760,10870,17210,5800,2470,970,360,40,..,86460
LAUA,4520,E08000023,South Tyneside,46060,8680,6690,3620,1390,650,300,40,..,67440
LAUA,4525,E08000024,Sunderland,83010,14610,13860,6160,2080,760,420,50,..,120940
REGL,N/A,E12000002,NORTH WEST,1309610,542660,497420,265460,148920,74180,51760,5220,..,2895230
LAUA,2372,E06000008,Blackburn with Darwen UA,36660,7230,7290,3170,1620,760,480,70,..,57290
LAUA,2373,E06000009,Blackpool UA,28070,19230,10960,4310,1440,530,290,30,..,64880
LAUA,0660,E06000049,Cheshire East UA,27140,30760,30680,20810,16040,10800,9870,1330,..,147410
LAUA,0665,E06000050,Cheshire West and Chester UA,29600,32260,26390,16780,12590,7510,6200,410,..,131720
LAUA,0650,E06000006,Halton UA,25700,9840,7130,3550,1980,400,170,40,..,48810
LAUA,0655,E06000007,Warrington UA,25570,16160,16730,9090,4920,3080,1610,90,..,77260
CTYMET,N/A,E10000006,Cumbria,90610,41660,35370,25420,14620,6720,3750,390,..,218530
LAUA,0905,E07000026,Allerdale,22160,6450,6120,4120,2150,850,430,30,..,42300
LAUA,0910,E07000027,Barrow-in-Furness,19590,5300,4180,1930,640,180,50,10,..,31870
LAUA,0915,E07000028,Carlisle,22230,9920,5780,4000,1820,650,260,30,..,44680
LAUA,0920,E07000029,Copeland,19110,4120,3480,2360,1210,310,80,10,..,30690
LAUA,0925,E07000030,Eden,3650,6160,4460,3770,2430,760,290,40,..,21550
LAUA,0930,E07000031,South Lakeland,3870,9720,11360,9240,6360,3980,2640,280,..,47450
CTYMET,N/A,E11000001,Greater Manchester (Met County),550970,189730,177480,85150,43840,19450,13020,1600,..,1081220
LAUA,4205,E08000001,Bolton,60910,17210,16090,8520,3950,1710,1470,190,..,110030
LAUA,4210,E08000002,Bury,28000,16220,15590,8070,4500,1580,1170,190,..,75320
LAUA,4215,E08000003,Manchester,133360,22760,20450,7130,2530,1180,600,90,..,188100
LAUA,4220,E08000004,Oldham,51640,15430,14220,5220,2380,1170,750,80,..,90880
LAUA,4225,E08000005,Rochdale,52110,12580,10230,6370,3370,1160,720,60,..,86590
LAUA,4230,E08000006,Salford,59410,17460,13100,5250,2410,1120,770,100,..,99620
LAUA,4235,E08000007,Stockport,29400,25900,26960,17930,11900,5620,3060,140,..,120920
LAUA,4240,E08000008,Tameside,52930,15430,16850,4810,2410,760,310,30,..,93520
LAUA,4245,E08000009,Trafford,18060,19490,23900,13630,6910,3920,3720,690,..,90310
LAUA,4250,E08000010,Wigan,65170,27250,20100,8230,3480,1230,450,30,..,125940
CTYMET,N/A,E10000017,Lancashire,187010,90670,88710,53910,29910,14220,8640,670,..,473730
LAUA,2315,E07000117,Burnley,26320,4020,5770,2250,1040,300,150,20,..,39860
