geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,5899250,4759560,5262740,3711590,2335140,1247500,853650,141190,5250,24215860
NATL,N/A,E92000001,ENGLAND,5694320,4466670,4965250,3492560,2155570,1138680,803350,129070,..,22845480
REGL,N/A,E12000001,NORTH EAST,658600,173740,170570,92800,46680,20420,11810,1310,..,1175930
LAUA,1355,E06000047,County Durham UA,142940,28450,27940,18790,9280,3550,1980,250,..,233160
LAUA,1350,E06000005,Darlington UA,22500,9690,6710,4970,2760,1130,490,50,..,48290
LAUA,0724,E06000001,Hartlepool UA,24290,6360,5760,2920,1420,570,410,50,..,41770
LAUA,0734,E06000002,Middlesbrough UA,33080,9600,10150,4520,1880,640,430,50,..,60360
LAUA,2935,E06000057,Northumberland UA,69780,22650,18400,14810,9700,6240,3810,470,..,145860
LAUA,0728,E06000003,Redcar and Cleveland UA,26910,12260,13590,5050,2930,840,380,20,..,61980
LAUA,0738,E06000004,Stockton-on-Tees UA,35500,14970,14500,8980,5010,2040,1190,110,..,82290
CTYMET,N/A,E11000007,Tyne and Wear (Met County),303610,69770,73520,32760,13700,5430,3120,310,..,502220
LAUA,4505,E08000037,Gateshead,58000,11470,14130,5240,2100,770,360,40,..,92110
LAUA,4510,E08000021,Newcastle upon Tyne,71060,18300,17630,8250,4040,1940,1510,120,..,122830
LAUA,4515,E08000022,North Tyneside,49430,14490,18110,7200,3090,1030,340,40,..,93740
LAUA,4520,E08000023,South Tyneside,45920,9130,7610,4020,1590,700,320,50,..,69350
LAUA,4525,E08000024,Sunderland,79200,16380,16040,8060,2880,990,590,70,..,124200
REGL,N/A,E12000002,NORTH WEST,1322230,619090,548790,316130,182490,89130,59670,6350,..,3143870
LAUA,2372,E06000008,Blackburn with Darwen UA,35020,8750,8160,4220,2060,800,550,70,..,59610
LAUA,2373,E06000009,Blackpool UA,31180,20400,11190,4590,1830,540,270,30,..,70040
LAUA,0660,E06000049,Cheshire East UA,28980,34150,32670,24190,18690,12810,11840,1690,..,165020
LAUA,0665,E06000050,Cheshire West and Chester UA,31920,34740,28930,19560,15020,8770,7150,540,..,146630
LAUA,0650,E06000006,Halton UA,25890,11560,7770,4590,3250,980,330,40,..,54410
LAUA,0655,E06000007,Warrington UA,26090,18830,18510,11100,6510,4270,2510,190,..,88000
CTYMET,N/A,E10000006,Cumbria,91780,45230,39560,29610,18170,8350,4240,410,..,237330
LAUA,0905,E07000026,Allerdale,21940,7090,6760,4990,2750,1040,470,30,..,45070
LAUA,0910,E07000027,Barrow-in-Furness,19700,5450,4570,2230,950,230,70,10,..,33210
LAUA,0915,E07000028,Carlisle,22100,11150,7120,5050,2460,1000,330,30,..,49240
LAUA,0920,E07000029,Copeland,19260,4370,3990,2970,1730,430,90,20,..,32860
LAUA,0925,E07000030,Eden,4110,6670,5140,4520,3130,1010,390,50,..,25010
LAUA,0930,E07000031,South Lakeland,4670,10510,11990,9840,7150,4630,2890,280,..,51940
CTYMET,N/A,E11000001,Greater Manchester (Met County),552430,221850,199880,104930,54710,23070,14560,1940,..,1173350
LAUA,4205,E08000001,Bolton,62810,20530,18090,10150,5220,2130,1760,230,..,120920
LAUA,4210,E08000002,Bury,29510,17670,16810,8750,5190,1790,1270,180,..,81160
LAUA,4215,E08000003,Manchester,131030,34970,29670,14240,5160,1950,740,110,..,217870
LAUA,4220,E08000004,Oldham,50790,16250,15130,6440,3160,1430,830,70,..,94100
LAUA,4225,E08000005,Rochdale,51050,14300,11230,7420,3950,1540,860,50,..,90390
LAUA,4230,E08000006,Salford,59420,21680,14660,7120,3220,1360,820,100,..,108380
LAUA,4235,E08000007,Stockport,30580,27060,27450,18760,12450,5950,3240,170,..,125670
LAUA,4240,E08000008,Tameside,51900,17900,18310,6180,3330,850,370,40,..,98880
LAUA,4245,E08000009,Trafford,18750,20650,25800,14430,7520,4330,4100,930,..,96510
LAUA,4250,E08000010,Wigan,66590,30840,22730,11440,5510,1740,560,50,..,139460
CTYMET,N/A,E10000017,Lancashire,196000,100340,96130,62380,36860,17450,10060,760,..,519960
LAUA,2315,E07000117,Burnley,25170,4810,6110,2730,1260,330,140,20,..,40560
LAUA,2320,E07000118,Chorley,14330,10230,8600,5860,4190,1700,740,60,..,45710
LAUA,2325,E07000119,Fylde,6500,5950,8600,6800,4430,2370,1510,90,..,36250
LAUA,2330,E07000120,Hyndburn,21580,5150,5560,2770,890,270,170,20,..,36390
LAUA,2335,E07000121,Lancaster,21660,15620,11680,6050,3730,1840,840,70,..,61490
LAUA,2340,E07000122,Pendle,24740,4430,4250,3010,1730,950,520,40,..,39680
LAUA,2345,E07000123,Preston,27610,12050,9530,6290,2500,1210,890,50,..,60130
LAUA,2350,E07000124,Ribble Valley,3450,4720,4790,4410,3250,2030,1860,190,..,24710
LAUA,2355,E07000125,Rossendale,15810,4700,3880,3250,1850,640,430,40,..,30600
LAUA,2360,E07000126,South Ribble,9830,12530,11840,7380,3810,1480,480,20,..,47370
LAUA,2365,E07000127,West Lancashire,14350,8560,9340,6600,4590,2380,1510,80,..,47420
LAUA,2370,E07000128,Wyre,10980,11600,11940,7220,4630,2240,980,70,..,49670
CTYMET,N/A,E11000002,Merseyside (Met County),302960,123250,106010,50970,25410,12100,8160,690,..,629540
LAUA,4305,E08000011,Knowsley,37080,13030,8780,3870,1480,270,130,20,..,64650
LAUA,4310,E08000012,Liverpool,132180,35750,25790,13030,4770,2170,1600,140,..,215420
LAUA,4320,E08000014,Sefton,38760,26270,29870,14840,8040,3840,2770,230,..,124610
LAUA,4315,E08000013,St. Helens,36290,17220,14360,6220,3090,1550,560,30,..,79310
LAUA,4325,E08000015,Wirral,58650,30980,27220,13010,8030,4270,3100,270,..,145540
REGL,N/A,E12000003,YORKSHIRE AND THE HUMBER,1018000,460060,382980,213870,132830,63910,36650,3200,..,2311480
LAUA,2001,E06000011,East Riding of Yorkshire UA,39390,34620,29250,22590,14300,6230,2930,240,..,149550
LAUA,2004,E06000010,"Kingston upon Hull, City of UA",81320,21280,9320,3510,1000,250,70,40,..,116780
LAUA,2002,E06000012,North East Lincolnshire UA,38650,16620,8420,4600,1790,670,420,50,..,71220
LAUA,2003,E06000013,North Lincolnshire UA,34990,14390,10770,7100,3420,1350,460,30,..,72510
