geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,5821270,4456060,4875000,3394980,2153570,1113310,795720,121150,..,22731060
NATL,N/A,E92000001,ENGLAND,5562320,4131020,4613650,3200010,1997620,1054150,760310,117940,..,21437010
REGL,N/A,E12000001,NORTH EAST,667960,157420,157850,80700,40190,17630,10300,1170,..,1133210
LAUA,1355,E06000047,County Durham UA,143730,24370,24620,15000,7670,2950,1750,240,..,220330
LAUA,1350,E06000005,Darlington UA,22160,8660,5970,4300,2370,980,420,50,..,44930
LAUA,0724,E06000001,Hartlepool UA,25100,5730,5010,2550,1100,430,260,20,..,40190
LAUA,0734,E06000002,Middlesbrough UA,34440,8900,9530,4150,1680,610,340,40,..,59690
LAUA,2935,E06000057,Northumberland UA,69110,21770,17260,13220,8630,5640,3550,400,..,139570
LAUA,0728,E06000003,Redcar and Cleveland UA,28240,11690,13090,4450,2350,650,340,20,..,60830
LAUA,0738,E06000004,Stockton-on-Tees UA,36500,13510,13500,7730,4220,1510,850,80,..,77900
CTYMET,N/A,E11000007,Tyne and Wear (Met County),308680,62780,68870,29300,12180,4850,2800,330,..,489770
LAUA,4505,E08000037,Gateshead,58150,10070,12840,4670,1870,680,340,50,..,88650
LAUA,4510,E08000021,Newcastle upon Tyne,73130,17250,16510,7250,3540,1650,1290,120,..,120730
LAUA,4515,E08000022,North Tyneside,48720,12200,17900,6610,2830,1000,350,40,..,89650
LAUA,4520,E08000023,South Tyneside,46400,8290,6860,3730,1510,680,320,50,..,67850
LAUA,4525,E08000024,Sunderland,82300,14980,14760,7040,2430,830,490,80,..,122900
REGL,N/A,E12000002,NORTH WEST,1322420,563530,514030,285910,167010,82020,56130,5610,..,2996660
LAUA,2372,E06000008,Blackburn with Darwen UA,35740,7750,7810,3850,1910,780,530,60,..,58430
LAUA,2373,E06000009,Blackpool UA,29580,19570,10980,4410,1650,560,270,30,..,67040
LAUA,0660,E06000049,Cheshire East UA,28100,31170,31630,22230,17820,11920,10750,1490,..,155110
LAUA,0665,E06000050,Cheshire West and Chester UA,30790,33060,27580,18220,13970,8240,6780,480,..,139110
LAUA,0650,E06000006,Halton UA,25780,10250,7300,4100,2870,620,210,40,..,51150
LAUA,0655,E06000007,Warrington UA,25680,16420,17210,9880,5660,3730,2200,110,..,80880
CTYMET,N/A,E10000006,Cumbria,91150,43320,37130,27490,16250,7660,4080,390,..,227470
