geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,5786080,4548520,5062390,3563780,2263940,1210840,837810,135380,5260,23414000
NATL,N/A,E92000001,ENGLAND,5585120,4262120,4772490,3354310,2093240,1106590,788890,123540,..,22086300
REGL,N/A,E12000001,NORTH EAST,661230,163530,163950,87570,44650,19360,11230,1220,..,1152730
LAUA,1355,E06000047,County Durham UA,142240,25900,26140,17100,8610,3330,1930,240,..,225480
LAUA,1350,E06000005,Darlington UA,22250,9120,6240,4610,2690,1070,450,50,..,46480
LAUA,0724,E06000001,Hartlepool UA,24930,5930,5350,2760,1370,550,370,40,..,41290
LAUA,0734,E06000002,Middlesbrough UA,33650,9000,9750,4310,1830,630,400,50,..,59610
LAUA,2935,E06000057,Northumberland UA,68980,22260,17850,14160,9270,5950,3680,420,..,142550
LAUA,0728,E06000003,Redcar and Cleveland UA,27490,11750,13310,4810,2800,790,370,20,..,61330
LAUA,0738,E06000004,Stockton-on-Tees UA,35910,13680,13810,8350,4790,1840,1060,100,..,79530
CTYMET,N/A,E11000007,Tyne and Wear (Met County),305790,65900,71520,31470,13300,5200,2960,310,..,496460
LAUA,4505,E08000037,Gateshead,58260,10700,13760,5150,2030,730,350,40,..,91020
LAUA,4510,E08000021,Newcastle upon Tyne,72020,17470,17150,7730,3850,1790,1360,110,..,121480
LAUA,4515,E08000022,North Tyneside,48870,13530,17880,6950,2980,1030,350,40,..,91640
LAUA,4520,E08000023,South Tyneside,46000,8620,7150,3920,1550,700,320,50,..,68300
LAUA,4525,E08000024,Sunderland,80640,15590,15590,7730,2880,960,570,60,..,124010
REGL,N/A,E12000002,NORTH WEST,1313050,585790,530940,303720,178160,86830,59150,5990,..,3063630
LAUA,2372,E06000008,Blackburn with Darwen UA,35080,8350,7980,4170,2030,810,550,60,..,59030
LAUA,2373,E06000009,Blackpool UA,30020,19910,11150,4550,1800,550,270,30,..,68270
LAUA,0660,E06000049,Cheshire East UA,28110,32390,32430,23600,18530,12440,11620,1600,..,160710
LAUA,0665,E06000050,Cheshire West and Chester UA,31490,33710,28410,19180,14770,8600,7110,520,..,143780
LAUA,0650,E06000006,Halton UA,25550,10820,7680,4370,3230,900,320,40,..,52910
LAUA,0655,E06000007,Warrington UA,25890,17160,17760,10400,6190,4030,2430,170,..,84030
CTYMET,N/A,E10000006,Cumbria,91010,44260,38400,28900,17640,8190,4270,400,..,233060
LAUA,0905,E07000026,Allerdale,21850,6860,6630,4860,2670,1020,470,30,..,44380
LAUA,0910,E07000027,Barrow-in-Furness,19610,5460,4480,2190,900,230,70,10,..,32950
LAUA,0915,E07000028,Carlisle,21970,10860,6700,4820,2420,940,320,30,..,48060
LAUA,0920,E07000029,Copeland,19240,4230,3820,2870,1610,400,80,20,..,32260
LAUA,0925,E07000030,Eden,4000,6530,5010,4440,3020,980,390,50,..,24410
LAUA,0930,E07000031,South Lakeland,4340,10320,11780,9720,7010,4610,2940,280,..,51010
CTYMET,N/A,E11000001,Greater Manchester (Met County),550610,206100,190020,97870,52410,22140,14410,1790,..,1135350
LAUA,4205,E08000001,Bolton,61880,19020,17410,9790,5030,2000,1740,220,..,117100
LAUA,4210,E08000002,Bury,29070,17130,16410,8610,5160,1730,1270,180,..,79560
LAUA,4215,E08000003,Manchester,130620,30030,24870,10870,4300,1720,730,100,..,203240
LAUA,4220,E08000004,Oldham,51290,15820,14790,6220,3030,1370,830,70,..,93420
LAUA,4225,E08000005,Rochdale,51700,13510,10840,7140,3940,1490,840,50,..,89500
LAUA,4230,E08000006,Salford,59220,18490,13680,6070,3060,1250,830,100,..,102700
LAUA,4235,E08000007,Stockport,30480,26250,27130,18470,12350,5870,3190,160,..,123900
LAUA,4240,E08000008,Tameside,51950,16760,17840,5800,3060,820,350,40,..,96630
LAUA,4245,E08000009,Trafford,18680,20050,25270,14160,7350,4250,4080,820,..,94670
LAUA,4250,E08000010,Wigan,65720,29060,21770,10750,5130,1620,540,50,..,134630
CTYMET,N/A,E10000017,Lancashire,193440,97090,94230,60970,36260,17130,9880,720,..,509730
LAUA,2315,E07000117,Burnley,25230,4480,6150,2690,1260,320,140,20,..,40290
LAUA,2320,E07000118,Chorley,13890,9940,8400,5660,4200,1670,720,60,..,44530
LAUA,2325,E07000119,Fylde,6420,5860,8370,6550,4310,2340,1430,80,..,35360
LAUA,2330,E07000120,Hyndburn,21600,4990,5560,2720,870,270,170,10,..,36200
LAUA,2335,E07000121,Lancaster,21250,15200,11190,5920,3660,1810,820,70,..,59920
LAUA,2340,E07000122,Pendle,24710,4280,4070,2880,1700,940,510,40,..,39140
LAUA,2345,E07000123,Preston,26890,11470,9420,6260,2470,1190,860,50,..,58610
LAUA,2350,E07000124,Ribble Valley,3290,4640,4740,4420,3220,1980,1880,190,..,24360
LAUA,2355,E07000125,Rossendale,15670,4510,3700,3130,1760,630,430,40,..,29870
LAUA,2360,E07000126,South Ribble,9600,11890,11670,7210,3710,1430,480,20,..,46000
LAUA,2365,E07000127,West Lancashire,14250,8450,9270,6490,4540,2390,1490,70,..,46950
LAUA,2370,E07000128,Wyre,10650,11380,11700,7060,4570,2150,930,70,..,48510
CTYMET,N/A,E11000002,Merseyside (Met County),301880,116010,102890,49700,25310,12060,8280,650,..,616770
LAUA,4305,E08000011,Knowsley,36620,12310,8560,3730,1420,260,120,20,..,63050
LAUA,4310,E08000012,Liverpool,132840,32320,23320,12400,4720,2170,1600,130,..,209490
LAUA,4320,E08000014,Sefton,38810,25350,29700,14510,8070,3820,2840,230,..,123320
LAUA,4315,E08000013,St. Helens,35670,16210,14300,6110,3070,1470,590,30,..,77450
LAUA,4325,E08000015,Wirral,57940,29810,27020,12940,8020,4340,3130,260,..,143460
REGL,N/A,E12000003,YORKSHIRE AND THE HUMBER,1005450,437150,365720,203200,128280,61400,35820,3050,..,2240060
LAUA,2001,E06000011,East Riding of Yorkshire UA,38520,33430,28580,21920,13910,5950,2870,230,..,145400
LAUA,2004,E06000010,"Kingston upon Hull, City of UA",81770,20470,8590,3150,870,220,60,40,..,115160
LAUA,2002,E06000012,North East Lincolnshire UA,38550,16250,8230,4420,1720,630,390,40,..,70230
LAUA,2003,E06000013,North Lincolnshire UA,34560,13630,10350,6760,3190,1210,440,20,..,70160
LAUA,2741,E06000014,York UA,10560,23920,24870,11990,6860,3040,1430,90,..,82760
CTYMET,N/A,E10000023,North Yorkshire,43180,57660,60130,39250,31280,18770,12340,1100,..,263720
LAUA,2705,E07000163,Craven,4000,5560,5710,3800,2960,1880,1240,110,..,25270
