geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,6181390,5136660,5707510,4065640,2573890,1378050,921280,158980,5600,26128990
NATL,N/A,E92000001,ENGLAND,5970220,4833480,5392190,3831140,2379190,1259760,867540,146070,..,24679590
REGL,N/A,E12000001,NORTH EAST,665860,197510,186570,105300,54930,23840,13300,1490,..,1248790
LAUA,1355,E06000047,County Durham UA,143910,34620,30940,21880,10560,4120,2190,280,..,248500
LAUA,1350,E06000005,Darlington UA,22800,10680,7390,5470,3130,1270,580,50,..,51360
LAUA,0724,E06000001,Hartlepool UA,24010,7490,6310,3340,1750,740,520,80,..,44260
LAUA,0734,E06000002,Middlesbrough UA,33200,10860,11000,5230,2530,880,540,50,..,64280
LAUA,2935,E06000057,Northumberland UA,70600,24980,20380,16970,11120,6880,4270,550,..,155750
LAUA,0728,E06000003,Redcar and Cleveland UA,26780,13450,14220,5760,3410,950,400,30,..,64980
LAUA,0738,E06000004,Stockton-on-Tees UA,35160,17060,16060,9870,5920,2610,1370,120,..,88160
CTYMET,N/A,E11000007,Tyne and Wear (Met County),309410,78370,80270,36780,16510,6400,3440,320,..,531500
LAUA,4505,E08000037,Gateshead,56490,12850,15360,5700,2470,860,370,50,..,94160
LAUA,4510,E08000021,Newcastle upon Tyne,76760,20650,19410,9160,4800,2330,1750,130,..,135000
LAUA,4515,E08000022,North Tyneside,50360,15780,19470,8030,4130,1380,360,40,..,99560
LAUA,4520,E08000023,South Tyneside,45880,10220,8530,4720,1800,720,330,40,..,72240
LAUA,4525,E08000024,Sunderland,79920,18860,17500,9160,3300,1110,630,60,..,130540
REGL,N/A,E12000002,NORTH WEST,1360080,674910,585700,341710,200500,97550,62680,6960,..,3330090
LAUA,2372,E06000008,Blackburn with Darwen UA,35570,9420,8500,4480,2160,810,580,70,..,61580
LAUA,2373,E06000009,Blackpool UA,32090,21040,11300,4720,1900,570,250,30,..,71900
LAUA,0660,E06000049,Cheshire East UA,30930,37100,35120,26620,21220,14310,12480,1880,..,179670
LAUA,0665,E06000050,Cheshire West and Chester UA,34740,37660,31640,21560,16430,10010,7700,610,..,160340
LAUA,0650,E06000006,Halton UA,27090,12420,8120,5080,3730,1220,350,40,..,58050
LAUA,0655,E06000007,Warrington UA,26870,20710,19330,11920,7390,4520,2640,220,..,93600
CTYMET,N/A,E10000006,Cumbria,92960,48690,41980,31840,19840,8850,4260,410,..,248830
LAUA,0905,E07000026,Allerdale,22180,7860,7300,5550,3060,1100,450,30,..,47510
LAUA,0910,E07000027,Barrow-in-Furness,19800,5510,4730,2390,1030,240,70,10,..,33790
LAUA,0915,E07000028,Carlisle,22460,12320,7980,5810,2920,1200,400,30,..,53110
LAUA,0920,E07000029,Copeland,19240,4670,4160,3220,1920,440,90,20,..,33760
LAUA,0925,E07000030,Eden,4320,7320,5560,4810,3440,1090,400,50,..,26980
LAUA,0930,E07000031,South Lakeland,4950,11020,12250,10060,7470,4790,2860,280,..,53680
CTYMET,N/A,E11000001,Greater Manchester (Met County),562650,244060,216440,114630,59310,25000,15380,2090,..,1239560
LAUA,4205,E08000001,Bolton,64590,21760,18670,10540,5620,2260,1860,240,..,125540
LAUA,4210,E08000002,Bury,30360,18560,17300,9180,5490,1850,1270,180,..,84190
LAUA,4215,E08000003,Manchester,134110,40680,33910,16520,5650,2360,950,110,..,234290
LAUA,4220,E08000004,Oldham,50820,17280,16310,6960,3320,1540,900,80,..,97210
LAUA,4225,E08000005,Rochdale,51040,16380,12510,7910,4430,1680,870,60,..,94870
LAUA,4230,E08000006,Salford,60480,26920,18420,9730,3640,1430,860,100,..,121580
LAUA,4235,E08000007,Stockport,31480,28630,28390,19400,12950,6440,3430,200,..,130930
LAUA,4240,E08000008,Tameside,52580,19080,19650,6860,3780,920,430,40,..,103330
LAUA,4245,E08000009,Trafford,19200,21820,26920,14980,7800,4600,4170,1030,..,100520
LAUA,4250,E08000010,Wigan,67990,32960,24350,12540,6650,1940,640,50,..,147110
CTYMET,N/A,E10000017,Lancashire,203140,108060,102220,67310,41460,19840,10790,870,..,553700
LAUA,2315,E07000117,Burnley,25470,5560,6240,2830,1260,330,130,20,..,41850
LAUA,2320,E07000118,Chorley,14990,11840,9570,6840,5230,2240,960,70,..,51740
LAUA,2325,E07000119,Fylde,7080,6660,9130,7280,5050,2680,1620,130,..,39610
LAUA,2330,E07000120,Hyndburn,21780,5660,5600,2720,860,280,170,10,..,37080
LAUA,2335,E07000121,Lancaster,22910,16290,12620,6580,4110,2000,850,80,..,65430
LAUA,2340,E07000122,Pendle,24860,4680,4420,3290,1810,980,530,40,..,40620
LAUA,2345,E07000123,Preston,29490,12640,10030,6780,2930,1580,920,60,..,64430
LAUA,2350,E07000124,Ribble Valley,3770,5280,5260,4770,3910,2400,1950,220,..,27550
LAUA,2355,E07000125,Rossendale,16310,5030,4270,3390,1980,690,450,40,..,32160
LAUA,2360,E07000126,South Ribble,10020,13200,12410,8090,4100,1640,550,30,..,50030
LAUA,2365,E07000127,West Lancashire,14660,9130,10010,7240,4990,2520,1610,100,..,50240
LAUA,2370,E07000128,Wyre,11800,12110,12670,7510,5250,2520,1050,80,..,52970
CTYMET,N/A,E11000002,Merseyside (Met County),314030,135740,111060,53550,27070,12420,8260,740,..,662850
LAUA,4305,E08000011,Knowsley,37830,14550,9790,4410,1800,320,130,20,..,68830
LAUA,4310,E08000012,Liverpool,139150,42240,27910,13690,5030,2250,1700,140,..,232100
LAUA,4320,E08000014,Sefton,39590,27570,30520,15210,8450,3920,2720,270,..,128250
LAUA,4315,E08000013,St. Helens,37340,18870,15380,6830,3550,1650,570,40,..,84220
LAUA,4325,E08000015,Wirral,60130,32510,27460,13410,8250,4290,3140,270,..,149460
REGL,N/A,E12000003,YORKSHIRE AND THE HUMBER,1052720,495150,410090,235090,148470,70990,39960,3580,..,2456050
LAUA,2001,E06000011,East Riding of Yorkshire UA,39870,36520,30900,24120,15660,7170,3260,280,..,157780
LAUA,2004,E06000010,"Kingston upon Hull, City of UA",81940,23670,10740,4450,1360,320,60,40,..,122570
LAUA,2002,E06000012,North East Lincolnshire UA,38480,17670,8960,5050,2150,800,490,60,..,73640
LAUA,2003,E06000013,North Lincolnshire UA,35450,15740,11260,7630,3810,1560,530,30,..,76000
LAUA,2741,E06000014,York UA,12690,25200,26670,13450,7780,3600,1820,130,..,91330
CTYMET,N/A,E10000023,North Yorkshire,48110,63760,65760,43780,35280,20830,13200,1280,..,292010
LAUA,2705,E07000163,Craven,4320,6220,6060,4350,3290,2060,1300,110,..,27710
LAUA,2710,E07000164,Hambleton,3790,8720,9810,7080,6480,4120,2480,170,..,42650
LAUA,2715,E07000165,Harrogate,8750,14160,16750,10970,9740,6610,5780,680,..,73450
LAUA,2720,E07000166,Richmondshire,3670,4990,5570,3550,3240,1700,840,100,..,23650
LAUA,2725,E07000167,Ryedale,2450,6430,6050,4490,3540,2100,1170,110,..,26350
LAUA,2730,E07000168,Scarborough,16270,14880,13020,7230,4080,1670,660,50,..,57860
LAUA,2735,E07000169,Selby,8860,8360,8510,6110,4920,2570,960,60,..,40340
CTYMET,N/A,E11000003,South Yorkshire (Met County),356580,107060,76370,44310,22620,9770,5170,440,..,622320
LAUA,4405,E08000016,Barnsley,64990,18520,13710,9180,3920,1540,690,50,..,112590
LAUA,4410,E08000017,Doncaster,81190,25380,15240,9450,4650,2150,920,130,..,139110
LAUA,4415,E08000018,Rotherham,63220,23010,15500,9190,4640,1780,730,60,..,118130
LAUA,4420,E08000019,Sheffield,147180,40150,31940,16490,9410,4300,2830,200,..,252500
CTYMET,N/A,E11000006,West Yorkshire (Met County),439610,205550,179430,92280,59810,26950,15440,1330,..,1020390
LAUA,4705,E08000032,Bradford,91860,46260,40070,18200,12770,5970,3690,310,..,219140
LAUA,4710,E08000033,Calderdale,44510,18210,15490,7510,5520,2960,1340,60,..,95590
LAUA,4715,E08000034,Kirklees,85380,34850,32010,16930,11880,5330,2170,150,..,188700
LAUA,4720,E08000035,Leeds,138400,76370,68790,34530,21600,10230,7100,720,..,357750
LAUA,4725,E08000036,Wakefield,79460,29860,23080,15120,8040,2450,1140,80,..,159230
REGL,N/A,E12000004,EAST MIDLANDS,781490,481550,382580,231550,141540,68430,36880,3230,..,2127250
LAUA,1055,E06000015,Derby UA,56870,21440,16610,8580,4530,2290,650,50,..,111020
LAUA,2465,E06000016,Leicester UA,84420,27360,16390,6990,3520,1550,600,60,..,140900
LAUA,3060,E06000018,Nottingham UA,88250,24650,16520,7190,2500,1090,730,120,..,141040
LAUA,2470,E06000017,Rutland UA,1660,4740,3230,2530,2360,1650,1290,150,..,17600
CTYMET,N/A,E10000007,Derbyshire,135700,83010,61390,41020,25230,12400,7000,550,..,366300
LAUA,1005,E07000032,Amber Valley,22570,12270,10490,6410,3310,1760,1410,140,..,58360
LAUA,1010,E07000033,Bolsover,22010,6180,4330,2600,1100,330,120,20,..,36690
LAUA,1015,E07000034,Chesterfield,26690,10260,6220,3810,1920,550,220,20,..,49710
LAUA,1045,E07000035,Derbyshire Dales,3520,7390,7500,5660,5030,3060,2100,130,..,34390
LAUA,1025,E07000036,Erewash,21650,14000,7840,5110,2300,870,510,40,..,52320
LAUA,1030,E07000037,High Peak,8600,13060,9040,4890,3840,2130,830,50,..,42440
LAUA,1035,E07000038,North East Derbyshire,19000,9260,7650,5090,3060,1520,860,70,..,46510
LAUA,1040,E07000039,South Derbyshire,11660,10580,8310,7450,4660,2180,950,90,..,45890
CTYMET,N/A,E10000018,Leicestershire,48450,88900,66320,44560,31210,14520,8470,790,..,303220
LAUA,2405,E07000129,Blaby,4960,15280,9880,6670,4460,1580,520,40,..,43360
LAUA,2410,E07000130,Charnwood,12750,21190,18780,10910,7140,3320,1970,210,..,76270
LAUA,2415,E07000131,Harborough,4490,8880,7980,6380,6460,3620,2590,240,..,40630
LAUA,2420,E07000132,Hinckley and Bosworth,8530,15980,11060,7360,4360,2220,1040,70,..,50630
LAUA,2430,E07000133,Melton,3610,7270,3810,3590,2420,1450,970,90,..,23210
LAUA,2435,E07000134,North West Leicestershire,10090,14060,7710,6540,4470,1760,920,50,..,45610
LAUA,2440,E07000135,Oadby and Wigston,4030,6240,7120,3100,1900,570,460,90,..,23510
CTYMET,N/A,E10000019,Lincolnshire,135750,74730,69060,37630,20190,8220,2900,350,..,348820
LAUA,2505,E07000136,Boston,14900,6140,6070,2150,820,210,80,10,..,30390
