geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,6043250,4967390,5488430,3890600,2444220,1306920,885040,151680,5480,25183010
NATL,N/A,E92000001,ENGLAND,5834240,4668830,5180920,3662400,2255650,1192520,832860,139060,..,23766480
REGL,N/A,E12000001,NORTH EAST,660270,187250,178400,98400,49980,21740,12490,1410,..,1209950
LAUA,1355,E06000047,County Durham UA,143470,31270,29460,20320,9900,3850,2100,270,..,240620
LAUA,1350,E06000005,Darlington UA,22690,10140,7100,5150,2920,1200,540,50,..,49780
LAUA,0724,E06000001,Hartlepool UA,24050,7280,6080,3160,1600,630,440,60,..,43290
LAUA,0734,E06000002,Middlesbrough UA,33170,10500,10630,4860,2100,730,490,50,..,62510
LAUA,2935,E06000057,Northumberland UA,70420,23670,19170,15630,10180,6460,3960,510,..,150000
LAUA,0728,E06000003,Redcar and Cleveland UA,26640,13090,13780,5430,3120,870,400,30,..,63340
LAUA,0738,E06000004,Stockton-on-Tees UA,34980,16260,15470,9360,5330,2180,1280,120,..,85000
CTYMET,N/A,E11000007,Tyne and Wear (Met County),304850,75040,76730,34490,14840,5830,3310,320,..,515410
LAUA,4505,E08000037,Gateshead,56440,12610,14900,5570,2230,810,370,50,..,92980
LAUA,4510,E08000021,Newcastle upon Tyne,73340,19590,18230,8600,4350,2170,1650,130,..,128050
LAUA,4515,E08000022,North Tyneside,49910,15250,18660,7520,3430,1120,340,40,..,96260
LAUA,4520,E08000023,South Tyneside,45910,9730,8190,4320,1740,690,330,50,..,70950
LAUA,4525,E08000024,Sunderland,79260,17870,16760,8490,3090,1040,610,60,..,127180
REGL,N/A,E12000002,NORTH WEST,1338160,647600,564660,326720,189080,92200,60590,6700,..,3225710
LAUA,2372,E06000008,Blackburn with Darwen UA,35360,9250,8300,4260,2000,770,570,70,..,60570
LAUA,2373,E06000009,Blackpool UA,31720,20800,11230,4590,1820,550,250,30,..,70990
LAUA,0660,E06000049,Cheshire East UA,30040,35380,33430,24970,19330,13240,11910,1790,..,170080
LAUA,0665,E06000050,Cheshire West and Chester UA,33240,36070,30150,20580,15440,9260,7360,580,..,152670
LAUA,0650,E06000006,Halton UA,26230,12010,7810,4800,3470,1080,380,40,..,55810
LAUA,0655,E06000007,Warrington UA,26560,20190,19190,11610,7020,4410,2600,200,..,91780
CTYMET,N/A,E10000006,Cumbria,92550,47440,40940,30620,18880,8500,4230,410,..,243540
LAUA,0905,E07000026,Allerdale,22090,7610,7120,5240,2900,1060,470,30,..,46510
LAUA,0910,E07000027,Barrow-in-Furness,19790,5460,4670,2310,980,230,70,10,..,33520
LAUA,0915,E07000028,Carlisle,22360,11830,7530,5340,2660,1110,360,30,..,51200
LAUA,0920,E07000029,Copeland,19250,4590,4070,3090,1820,440,90,20,..,33370
LAUA,0925,E07000030,Eden,4260,7060,5330,4640,3240,1030,390,50,..,26000
LAUA,0930,E07000031,South Lakeland,4800,10890,12220,10000,7280,4630,2860,270,..,52950
CTYMET,N/A,E11000001,Greater Manchester (Met County),555390,232480,207260,108770,56610,23880,14850,2020,..,1201270
LAUA,4205,E08000001,Bolton,63950,21390,18260,10370,5410,2220,1800,230,..,123630
LAUA,4210,E08000002,Bury,30080,18180,17120,8930,5310,1800,1250,180,..,82850
LAUA,4215,E08000003,Manchester,131560,37950,31750,15030,5400,2000,780,100,..,224570
LAUA,4220,E08000004,Oldham,50330,16880,15900,6690,3250,1510,860,80,..,95490
LAUA,4225,E08000005,Rochdale,51080,15310,11800,7730,4250,1620,860,50,..,92710
LAUA,4230,E08000006,Salford,59260,24300,15810,7980,3340,1400,830,100,..,113020
LAUA,4235,E08000007,Stockport,30930,27470,27840,19030,12580,6120,3300,190,..,127460
LAUA,4240,E08000008,Tameside,52290,18610,18960,6550,3560,880,390,40,..,101290
LAUA,4245,E08000009,Trafford,18550,20990,26440,14650,7690,4480,4140,990,..,97940
LAUA,4250,E08000010,Wigan,67340,31410,23380,11810,5830,1850,630,50,..,142310
CTYMET,N/A,E10000017,Lancashire,199870,104460,98770,64590,38370,18380,10340,850,..,535630
LAUA,2315,E07000117,Burnley,24940,5220,6100,2760,1250,320,130,20,..,40740
LAUA,2320,E07000118,Chorley,14690,11190,9300,6540,4690,2030,860,70,..,49360
LAUA,2325,E07000119,Fylde,6950,6320,8700,6940,4620,2490,1530,120,..,37670
LAUA,2330,E07000120,Hyndburn,21740,5480,5500,2650,860,280,170,10,..,36690
LAUA,2335,E07000121,Lancaster,22320,15920,12130,6270,3850,1910,830,70,..,63290
LAUA,2340,E07000122,Pendle,24730,4540,4290,3170,1740,940,520,50,..,39990
LAUA,2345,E07000123,Preston,28630,12170,9610,6330,2530,1310,890,60,..,61540
LAUA,2350,E07000124,Ribble Valley,3660,5000,4970,4550,3450,2140,1900,210,..,25880
