geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,5843320,4664280,5174090,3648150,2306190,1232400,846620,138090,5190,23858320
NATL,N/A,E92000001,ENGLAND,5640000,4374420,4880590,3433310,2129570,1125430,797180,126140,..,22506620
REGL,N/A,E12000001,NORTH EAST,658840,169860,168130,91160,46050,20020,11630,1260,..,1166950
LAUA,1355,E06000047,County Durham UA,142390,27650,27340,18370,9090,3460,1970,250,..,230510
LAUA,1350,E06000005,Darlington UA,22360,9570,6560,4890,2720,1090,490,50,..,47720
LAUA,0724,E06000001,Hartlepool UA,24370,6120,5480,2870,1380,560,400,40,..,41220
LAUA,0734,E06000002,Middlesbrough UA,33510,9240,10070,4390,1860,640,430,50,..,60180
LAUA,2935,E06000057,Northumberland UA,69250,22520,18260,14680,9560,6150,3760,440,..,144620
LAUA,0728,E06000003,Redcar and Cleveland UA,26960,12050,13440,4970,2900,830,390,20,..,61550
LAUA,0738,E06000004,Stockton-on-Tees UA,35550,14470,14190,8710,4970,1970,1140,100,..,81090
CTYMET,N/A,E11000007,Tyne and Wear (Met County),304460,68240,72800,32290,13590,5310,3070,310,..,500070
LAUA,4505,E08000037,Gateshead,58080,11230,14020,5200,2090,760,350,50,..,91760
LAUA,4510,E08000021,Newcastle upon Tyne,71900,17690,17400,8040,3950,1840,1460,120,..,122410
LAUA,4515,E08000022,North Tyneside,49170,14250,18040,7110,3080,1020,350,40,..,93060
LAUA,4520,E08000023,South Tyneside,45990,8950,7470,3940,1570,710,320,50,..,68990
LAUA,4525,E08000024,Sunderland,79320,16120,15880,8000,2910,990,590,60,..,123850
REGL,N/A,E12000002,NORTH WEST,1318370,604900,542310,312460,181540,88420,59610,6190,..,3113790
LAUA,2372,E06000008,Blackburn with Darwen UA,35250,8520,8060,4210,2070,790,550,70,..,59500
LAUA,2373,E06000009,Blackpool UA,30520,20230,11230,4570,1850,540,270,30,..,69240
LAUA,0660,E06000049,Cheshire East UA,28580,33250,32690,24000,18710,12680,11810,1660,..,163360
LAUA,0665,E06000050,Cheshire West and Chester UA,31510,34150,28710,19400,14920,8730,7150,530,..,145090
LAUA,0650,E06000006,Halton UA,25710,11280,7760,4510,3230,940,330,40,..,53790
LAUA,0655,E06000007,Warrington UA,26050,18280,18340,10840,6410,4210,2490,180,..,86790
CTYMET,N/A,E10000006,Cumbria,91280,44830,39050,29420,18020,8340,4260,410,..,235600
LAUA,0905,E07000026,Allerdale,21860,7000,6730,4940,2730,1040,480,30,..,44810
LAUA,0910,E07000027,Barrow-in-Furness,19660,5460,4540,2230,930,230,70,10,..,33120
LAUA,0915,E07000028,Carlisle,21980,11010,6900,5010,2460,970,330,30,..,48680
LAUA,0920,E07000029,Copeland,19260,4310,3910,2920,1690,430,90,20,..,32620
LAUA,0925,E07000030,Eden,4080,6640,5090,4490,3110,1010,380,50,..,24840
LAUA,0930,E07000031,South Lakeland,4440,10410,11890,9830,7090,4670,2920,280,..,51520
CTYMET,N/A,E11000001,Greater Manchester (Met County),552280,214990,196360,102890,54290,22760,14530,1870,..,1159960
LAUA,4205,E08000001,Bolton,62340,19890,17780,10110,5110,2080,1750,230,..,119280
LAUA,4210,E08000002,Bury,29350,17560,16710,8720,5200,1760,1280,180,..,80760
LAUA,4215,E08000003,Manchester,131520,32890,28150,13410,5200,1910,750,110,..,213940
LAUA,4220,E08000004,Oldham,51250,16060,14950,6380,3070,1420,830,70,..,94030
LAUA,4225,E08000005,Rochdale,51290,14040,11060,7280,3980,1520,860,60,..,90070
LAUA,4230,E08000006,Salford,59270,19870,14070,6600,3200,1340,820,100,..,105270
