geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,5818420,4479940,4909000,3433160,2183950,1131800,806110,122690,..,22885080
NATL,N/A,E92000001,ENGLAND,5560620,4154800,4646580,3236520,2025190,1070590,769540,119410,..,21583230
REGL,N/A,E12000001,NORTH EAST,666060,158410,159170,82500,41360,18130,10570,1170,..,1137360
LAUA,1355,E06000047,County Durham UA,143290,24600,24920,15410,7900,3070,1780,240,..,221190
LAUA,1350,E06000005,Darlington UA,22170,8690,5980,4340,2430,1000,440,50,..,45110
LAUA,0724,E06000001,Hartlepool UA,25030,5760,5160,2600,1180,470,270,20,..,40490
LAUA,0734,E06000002,Middlesbrough UA,34300,8910,9560,4190,1680,610,370,40,..,59670
LAUA,2935,E06000057,Northumberland UA,69040,21890,17430,13540,8800,5720,3590,400,..,140410
LAUA,0728,E06000003,Redcar and Cleveland UA,27880,11700,13150,4600,2500,700,360,20,..,60920
LAUA,0738,E06000004,Stockton-on-Tees UA,36420,13520,13590,8020,4450,1630,910,90,..,78620
CTYMET,N/A,E11000007,Tyne and Wear (Met County),307920,63350,69370,29790,12430,4920,2870,320,..,490960
LAUA,4505,E08000037,Gateshead,58150,10210,13100,4790,1900,700,350,50,..,89250
LAUA,4510,E08000021,Newcastle upon Tyne,72780,17340,16630,7380,3630,1680,1310,120,..,120870
LAUA,4515,E08000022,North Tyneside,48680,12390,17920,6650,2830,1010,350,40,..,89860
LAUA,4520,E08000023,South Tyneside,46270,8290,6900,3750,1540,690,320,50,..,67790
LAUA,4525,E08000024,Sunderland,82040,15120,14830,7220,2530,850,540,70,..,123200
REGL,N/A,E12000002,NORTH WEST,1318680,567910,517870,290090,170440,83480,57190,5730,..,3011400
LAUA,2372,E06000008,Blackburn with Darwen UA,35510,7810,7900,3940,1940,800,540,60,..,58490
LAUA,2373,E06000009,Blackpool UA,29670,19620,11010,4440,1720,550,270,30,..,67310
LAUA,0660,E06000049,Cheshire East UA,27960,31470,31830,22540,18110,12000,11010,1520,..,156450
