geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,5963960,4861740,5367860,3789160,2379550,1270990,865500,145910,5350,24650020
NATL,N/A,E92000001,ENGLAND,5757100,4565660,5065130,3565710,2195830,1159500,814230,133520,..,23256670
REGL,N/A,E12000001,NORTH EAST,657770,180070,173770,94880,47840,20880,12100,1390,..,1188690
LAUA,1355,E06000047,County Durham UA,143250,29630,28580,19510,9580,3640,2020,260,..,236470
LAUA,1350,E06000005,Darlington UA,22540,9780,6930,4970,2840,1140,510,50,..,48770
LAUA,0724,E06000001,Hartlepool UA,24160,6980,5760,2990,1490,590,420,60,..,42450
LAUA,0734,E06000002,Middlesbrough UA,32790,9970,10440,4720,1850,630,440,50,..,60890
LAUA,2935,E06000057,Northumberland UA,69910,23040,18750,15070,9920,6330,3890,500,..,147410
LAUA,0728,E06000003,Redcar and Cleveland UA,26810,12710,13680,5180,2980,850,390,20,..,62610
LAUA,0738,E06000004,Stockton-on-Tees UA,35150,15730,14960,9180,5130,2090,1240,120,..,83590
CTYMET,N/A,E11000007,Tyne and Wear (Met County),303160,72220,74680,33260,14060,5620,3190,320,..,506510
LAUA,4505,E08000037,Gateshead,57190,11900,14490,5350,2120,800,360,50,..,92250
LAUA,4510,E08000021,Newcastle upon Tyne,71450,18770,17800,8390,4150,2080,1570,130,..,124330
LAUA,4515,E08000022,North Tyneside,49620,15000,18320,7260,3170,1060,340,40,..,94800
LAUA,4520,E08000023,South Tyneside,45960,9470,7770,4110,1680,670,320,50,..,70030
LAUA,4525,E08000024,Sunderland,78950,17090,16300,8140,2940,1010,600,60,..,125090
REGL,N/A,E12000002,NORTH WEST,1326610,632420,555190,320020,184550,90020,60000,6540,..,3175330
LAUA,2372,E06000008,Blackburn with Darwen UA,35170,9030,8200,4210,2010,760,570,70,..,60030
LAUA,2373,E06000009,Blackpool UA,31760,20690,11230,4600,1810,550,260,30,..,70920
LAUA,0660,E06000049,Cheshire East UA,29440,34580,32800,24440,18890,12910,11840,1760,..,166650
LAUA,0665,E06000050,Cheshire West and Chester UA,32570,35280,29350,19810,15090,8910,7170,560,..,148740
LAUA,0650,E06000006,Halton UA,25910,11790,7750,4680,3290,1030,350,40,..,54830
LAUA,0655,E06000007,Warrington UA,26230,19390,18920,11380,6660,4340,2570,200,..,89670
CTYMET,N/A,E10000006,Cumbria,92040,46180,40100,29920,18420,8360,4230,400,..,239650
LAUA,0905,E07000026,Allerdale,22020,7340,6850,5010,2760,1060,470,30,..,45530
LAUA,0910,E07000027,Barrow-in-Furness,19710,5410,4590,2280,970,230,70,10,..,33270
LAUA,0915,E07000028,Carlisle,22230,11450,7360,5150,2510,1040,350,30,..,50130
LAUA,0920,E07000029,Copeland,19190,4480,4030,3020,1770,430,90,20,..,33030
LAUA,0925,E07000030,Eden,4210,6900,5210,4530,3190,1020,400,50,..,25500
LAUA,0930,E07000031,South Lakeland,4680,10590,12060,9920,7220,4580,2870,270,..,52190
CTYMET,N/A,E11000001,Greater Manchester (Met County),553080,227390,203090,106490,55500,23430,14710,1980,..,1185660
LAUA,4205,E08000001,Bolton,63360,21090,18130,10240,5300,2180,1780,240,..,122310
LAUA,4210,E08000002,Bury,29860,17910,16910,8790,5240,1770,1260,180,..,81920
LAUA,4215,E08000003,Manchester,131270,36620,30640,14670,5290,1980,770,100,..,221340
LAUA,4220,E08000004,Oldham,50270,16360,15420,6520,3210,1470,850,70,..,94170
LAUA,4225,E08000005,Rochdale,51050,14820,11440,7560,4030,1570,870,50,..,91380
LAUA,4230,E08000006,Salford,59020,23120,15320,7400,3280,1370,830,100,..,110460
LAUA,4235,E08000007,Stockport,30720,27210,27560,18910,12450,6010,3270,180,..,126290
LAUA,4240,E08000008,Tameside,52110,18330,18550,6350,3470,880,370,40,..,100090
LAUA,4245,E08000009,Trafford,18520,20790,26090,14490,7610,4400,4120,960,..,96980
LAUA,4250,E08000010,Wigan,66920,31140,23050,11560,5630,1790,590,50,..,140720
CTYMET,N/A,E10000017,Lancashire,197530,102060,97060,63220,37190,17730,10220,810,..,525820
LAUA,2315,E07000117,Burnley,24940,4990,6070,2720,1250,330,130,20,..,40450
LAUA,2320,E07000118,Chorley,14510,10590,8980,6230,4380,1830,810,60,..,47400
LAUA,2325,E07000119,Fylde,6710,6110,8660,6860,4470,2430,1540,100,..,36880
LAUA,2330,E07000120,Hyndburn,21660,5420,5430,2680,870,270,170,20,..,36520
LAUA,2335,E07000121,Lancaster,21920,15730,11800,6100,3740,1860,830,70,..,62040
LAUA,2340,E07000122,Pendle,24750,4450,4250,3110,1720,950,520,40,..,39780
LAUA,2345,E07000123,Preston,28010,12070,9590,6320,2480,1230,900,60,..,60650
LAUA,2350,E07000124,Ribble Valley,3550,4850,4850,4440,3260,2050,1880,210,..,25090
LAUA,2355,E07000125,Rossendale,15930,4780,4040,3230,1860,650,440,40,..,30970
LAUA,2360,E07000126,South Ribble,9930,12700,11850,7500,3880,1490,490,30,..,47870
LAUA,2365,E07000127,West Lancashire,14390,8650,9480,6820,4610,2390,1530,80,..,47930
LAUA,2370,E07000128,Wyre,11230,11730,12060,7210,4680,2270,1000,70,..,50250
CTYMET,N/A,E11000002,Merseyside (Met County),302890,126040,106700,51270,25690,12000,8080,700,..,633360
LAUA,4305,E08000011,Knowsley,37010,13240,8850,3900,1520,260,130,20,..,64920
LAUA,4310,E08000012,Liverpool,131570,37040,26190,13210,4770,2160,1580,140,..,216660
LAUA,4320,E08000014,Sefton,38990,26780,30000,14790,8120,3810,2720,240,..,125450
LAUA,4315,E08000013,St. Helens,36600,17480,14510,6280,3200,1540,560,30,..,80200
LAUA,4325,E08000015,Wirral,58720,31500,27150,13090,8080,4230,3090,270,..,146130
REGL,N/A,E12000003,YORKSHIRE AND THE HUMBER,1025920,469540,388710,218130,135130,64940,37070,3290,..,2342730
LAUA,2001,E06000011,East Riding of Yorkshire UA,39770,35370,29450,22970,14420,6330,2950,250,..,151500
LAUA,2004,E06000010,"Kingston upon Hull, City of UA",81250,21670,9530,3680,1110,280,60,40,..,117640
LAUA,2002,E06000012,North East Lincolnshire UA,38760,17060,8580,4690,1890,690,430,50,..,72140
LAUA,2003,E06000013,North Lincolnshire UA,35110,14910,10960,7250,3520,1420,480,30,..,73670
LAUA,2741,E06000014,York UA,10610,24690,25860,12700,7260,3250,1570,110,..,86040
CTYMET,N/A,E10000023,North Yorkshire,46630,60770,62210,41160,32610,19630,12600,1180,..,276800
LAUA,2705,E07000163,Craven,4220,5970,5820,4090,3120,1970,1280,110,..,26580
LAUA,2710,E07000164,Hambleton,3590,8370,8960,6680,5810,3860,2370,160,..,39790
