geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,5657390,4270900,4682270,3167190,1969010,1005490,734690,112410,..,21599350
NATL,N/A,E92000001,ENGLAND,5402770,3951450,4436300,2983890,1825570,955080,702820,109270,..,20367140
REGL,N/A,E12000001,NORTH EAST,669640,151440,148230,68580,33750,15630,9100,1050,..,1097410
LAUA,1355,E06000047,County Durham UA,144530,22800,22160,11980,6130,2540,1580,220,..,211930
LAUA,1350,E06000005,Darlington UA,22080,8320,5230,3600,1750,830,360,70,..,42240
LAUA,0724,E06000001,Hartlepool UA,24200,5630,4550,2010,810,280,170,20,..,37650
LAUA,0734,E06000002,Middlesbrough UA,34270,8560,9400,3710,1620,560,310,30,..,58450
LAUA,2935,E06000057,Northumberland UA,68770,21180,15750,11040,7410,5110,3180,370,..,132820
LAUA,0728,E06000003,Redcar and Cleveland UA,27810,11930,12810,4150,2140,610,330,20,..,59810
LAUA,0738,E06000004,Stockton-on-Tees UA,35870,12960,12430,6020,3080,1200,550,50,..,72130
CTYMET,N/A,E11000007,Tyne and Wear (Met County),312110,60080,65900,26080,10810,4490,2640,270,..,482380
LAUA,4505,E08000037,Gateshead,58730,9790,12210,4120,1670,580,270,40,..,87390
LAUA,4510,E08000021,Newcastle upon Tyne,75520,16460,16420,6620,3300,1560,1290,110,..,121280
LAUA,4515,E08000022,North Tyneside,48370,10640,17180,5730,2440,950,360,40,..,85720
LAUA,4520,E08000023,South Tyneside,46040,8660,6560,3560,1360,650,300,40,..,67170
LAUA,4525,E08000024,Sunderland,83450,14530,13550,6050,2040,750,410,50,..,120820
REGL,N/A,E12000002,NORTH WEST,1298570,538280,496310,262490,146820,73580,52240,5290,..,2873570
LAUA,2372,E06000008,Blackburn with Darwen UA,36560,7100,7080,3070,1560,750,500,70,..,56690
LAUA,2373,E06000009,Blackpool UA,27540,19050,11120,4280,1490,550,290,40,..,64360
LAUA,0660,E06000049,Cheshire East UA,26770,30330,30420,20610,15700,10620,9870,1330,..,145660
LAUA,0665,E06000050,Cheshire West and Chester UA,28860,31920,26300,16720,12330,7460,6250,410,..,130270
LAUA,0650,E06000006,Halton UA,25650,9720,7130,3370,1840,400,180,40,..,48320
LAUA,0655,E06000007,Warrington UA,25660,16030,16670,8820,4700,2920,1570,100,..,76460
CTYMET,N/A,E10000006,Cumbria,89760,41030,35320,25110,14470,6750,3830,420,..,216680
LAUA,0905,E07000026,Allerdale,21990,6400,6100,4050,2120,850,440,40,..,41990
LAUA,0910,E07000027,Barrow-in-Furness,19380,5150,4370,1940,640,180,50,10,..,31720
LAUA,0915,E07000028,Carlisle,22070,9790,5710,3940,1810,660,260,30,..,44250
LAUA,0920,E07000029,Copeland,19010,4060,3470,2340,1200,320,90,10,..,30500
LAUA,0925,E07000030,Eden,3560,6090,4450,3690,2410,770,300,40,..,21310
LAUA,0930,E07000031,South Lakeland,3750,9540,11230,9150,6290,3980,2680,290,..,46920
CTYMET,N/A,E11000001,Greater Manchester (Met County),547460,187720,176680,84400,43380,19370,13060,1550,..,1073610
LAUA,4205,E08000001,Bolton,60290,16710,16210,8390,3840,1740,1440,200,..,108820
LAUA,4210,E08000002,Bury,27760,16060,15550,8050,4450,1560,1180,190,..,74800
LAUA,4215,E08000003,Manchester,132590,22170,20270,7130,2520,1180,620,90,..,186560
LAUA,4220,E08000004,Oldham,51610,15290,14180,5140,2350,1160,770,70,..,90570
LAUA,4225,E08000005,Rochdale,52210,12270,10110,6180,3310,1140,730,60,..,86000
LAUA,4230,E08000006,Salford,59050,17300,12930,5360,2380,1150,790,100,..,99060
LAUA,4235,E08000007,Stockport,29190,25760,26910,17830,11940,5620,3070,140,..,120450
LAUA,4240,E08000008,Tameside,52680,15220,16820,4670,2400,750,310,30,..,92900
LAUA,4245,E08000009,Trafford,17060,20200,23810,13760,6870,3900,3720,650,..,89970
LAUA,4250,E08000010,Wigan,65010,26740,19910,7880,3320,1170,430,30,..,124490
