geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,5562970,4197520,4649840,3126440,1964500,1026740,773430,121710,..,21423140
NATL,N/A,E92000001,ENGLAND,5312720,3880230,4406980,2946200,1820820,975290,739750,118210,..,20200200
REGL,N/A,E12000001,NORTH EAST,665260,150020,147810,67260,33410,16230,9850,1120,..,1090960
LAUA,1355,E06000047,County Durham UA,143440,22820,22070,11570,6000,2770,1710,220,..,210610
LAUA,1350,E06000005,Darlington UA,21760,8260,5210,3570,1780,870,380,80,..,41910
LAUA,0724,E06000001,Hartlepool UA,23920,5560,4610,1970,800,290,180,10,..,37340
LAUA,0734,E06000002,Middlesbrough UA,34180,8540,9320,3560,1570,580,320,30,..,58110
LAUA,2935,E06000057,Northumberland UA,67690,20850,15540,10940,7380,5310,3510,420,..,131650
LAUA,0728,E06000003,Redcar and Cleveland UA,27870,11580,12840,4080,2180,640,360,30,..,59570
LAUA,0738,E06000004,Stockton-on-Tees UA,35550,13050,12220,5740,2980,1220,610,50,..,71400
CTYMET,N/A,E11000007,Tyne and Wear (Met County),310840,59360,66010,25850,10730,4550,2770,290,..,480400
LAUA,4505,E08000037,Gateshead,58210,9680,12290,4130,1680,580,300,40,..,86910
LAUA,4510,E08000021,Newcastle upon Tyne,75000,16220,16800,6600,3310,1570,1350,110,..,120980
LAUA,4515,E08000022,North Tyneside,48400,10320,17100,5600,2340,960,390,40,..,85140
LAUA,4520,E08000023,South Tyneside,45590,8940,6540,3560,1370,660,310,40,..,67010
LAUA,4525,E08000024,Sunderland,83650,14210,13280,5970,2020,760,420,50,..,120360
REGL,N/A,E12000002,NORTH WEST,1284720,531880,494090,258750,145560,75500,55700,5860,..,2852040
LAUA,2372,E06000008,Blackburn with Darwen UA,36390,7030,7000,3020,1480,780,490,80,..,56270
LAUA,2373,E06000009,Blackpool UA,27120,18920,11070,4260,1510,580,300,40,..,63780
LAUA,0660,E06000049,Cheshire East UA,26060,30000,30180,20210,15340,10600,10220,1460,..,144070
LAUA,0665,E06000050,Cheshire West and Chester UA,28210,31400,25940,16400,12050,7410,6650,490,..,128560
LAUA,0650,E06000006,Halton UA,25360,9720,7050,3210,1800,400,180,40,..,47750
LAUA,0655,E06000007,Warrington UA,25380,15800,16540,8620,4550,2830,1590,100,..,75410
CTYMET,N/A,E10000006,Cumbria,88100,40450,34840,24540,14700,7230,4330,490,..,214690
LAUA,0905,E07000026,Allerdale,21670,6270,6030,3930,2220,930,530,50,..,41620
LAUA,0910,E07000027,Barrow-in-Furness,19120,5100,4400,1980,640,190,50,10,..,31480
LAUA,0915,E07000028,Carlisle,21690,9720,5640,3880,1840,720,260,40,..,43790
LAUA,0920,E07000029,Copeland,18820,4030,3430,2280,1220,350,90,10,..,30240
LAUA,0925,E07000030,Eden,3280,5960,4250,3580,2600,950,380,50,..,21060
LAUA,0930,E07000031,South Lakeland,3530,9360,11090,8900,6180,4090,3020,340,..,46500
