geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,5942010,4828980,5332100,3762030,2363890,1262660,861150,144420,5330,24502570
NATL,N/A,E92000001,ENGLAND,5735830,4533710,5030910,3539970,2181520,1151960,810170,132160,..,23116230
REGL,N/A,E12000001,NORTH EAST,659100,178310,172580,94010,47400,20720,11990,1380,..,1185500
LAUA,1355,E06000047,County Durham UA,143290,29350,28350,19270,9480,3590,2010,260,..,235600
LAUA,1350,E06000005,Darlington UA,22580,9760,6890,4960,2800,1130,500,50,..,48690
LAUA,0724,E06000001,Hartlepool UA,24280,6870,5710,2950,1460,590,420,60,..,42330
LAUA,0734,E06000002,Middlesbrough UA,32990,9890,10350,4670,1850,630,440,60,..,60880
LAUA,2935,E06000057,Northumberland UA,69980,22910,18660,14930,9850,6310,3870,500,..,147010
LAUA,0728,E06000003,Redcar and Cleveland UA,26770,12550,13660,5140,2940,840,380,20,..,62300
LAUA,0738,E06000004,Stockton-on-Tees UA,35240,15430,14730,9080,5080,2080,1220,110,..,82960
CTYMET,N/A,E11000007,Tyne and Wear (Met County),303980,71550,74230,33000,13940,5550,3150,330,..,505730
LAUA,4505,E08000037,Gateshead,57660,11740,14340,5280,2110,790,360,50,..,92330
LAUA,4510,E08000021,Newcastle upon Tyne,71750,18640,17730,8340,4110,2050,1540,130,..,124270
LAUA,4515,E08000022,North Tyneside,49550,14890,18230,7230,3140,1050,340,40,..,94460
LAUA,4520,E08000023,South Tyneside,45970,9320,7760,4070,1670,670,320,50,..,69820
LAUA,4525,E08000024,Sunderland,79050,16960,16180,8080,2920,1000,600,70,..,124850
REGL,N/A,E12000002,NORTH WEST,1323780,627710,552910,318320,183890,89690,59890,6470,..,3162670
LAUA,2372,E06000008,Blackburn with Darwen UA,35150,8890,8120,4260,2030,780,570,70,..,59860
LAUA,2373,E06000009,Blackpool UA,31720,20620,11210,4600,1820,550,260,30,..,70820
LAUA,0660,E06000049,Cheshire East UA,29420,34410,32720,24360,18780,12860,11820,1740,..,166110
LAUA,0665,E06000050,Cheshire West and Chester UA,32380,35110,29210,19670,15100,8870,7150,550,..,148050
LAUA,0650,E06000006,Halton UA,25820,11710,7750,4630,3270,1010,350,40,..,54590
LAUA,0655,E06000007,Warrington UA,26160,19200,18760,11280,6600,4320,2560,190,..,89070
