geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,5812370,4603460,5117580,3606540,2286580,1222770,842490,136540,5190,23633520
NATL,N/A,E92000001,ENGLAND,5609550,4315490,4826290,3394390,2112760,1117120,793590,124730,..,22293910
REGL,N/A,E12000001,NORTH EAST,659920,166540,166060,89110,45390,19690,11420,1240,..,1159370
LAUA,1355,E06000047,County Durham UA,142120,26740,26700,17810,8870,3400,1960,240,..,227840
LAUA,1350,E06000005,Darlington UA,22300,9360,6380,4660,2730,1080,460,50,..,47010
LAUA,0724,E06000001,Hartlepool UA,24900,6040,5420,2850,1350,540,390,50,..,41540
LAUA,0734,E06000002,Middlesbrough UA,33700,9070,9870,4330,1840,630,420,50,..,59900
LAUA,2935,E06000057,Northumberland UA,69000,22360,18100,14330,9440,6030,3710,430,..,143410
LAUA,0728,E06000003,Redcar and Cleveland UA,27330,11870,13410,4890,2850,810,380,20,..,61560
LAUA,0738,E06000004,Stockton-on-Tees UA,35690,13920,14060,8480,4870,1910,1100,100,..,80120
CTYMET,N/A,E11000007,Tyne and Wear (Met County),304890,67180,72120,31760,13450,5290,3000,310,..,498010
LAUA,4505,E08000037,Gateshead,57940,10890,13920,5190,2060,750,350,50,..,91150
LAUA,4510,E08000021,Newcastle upon Tyne,71810,17580,17280,7860,3890,1810,1410,120,..,121750
LAUA,4515,E08000022,North Tyneside,48980,13980,17840,7030,3020,1050,350,40,..,92290
LAUA,4520,E08000023,South Tyneside,46040,8790,7320,3910,1570,700,320,50,..,68700
LAUA,4525,E08000024,Sunderland,80120,15950,15770,7770,2900,980,580,60,..,124120
REGL,N/A,E12000002,NORTH WEST,1314490,594470,536870,308240,179900,87960,59470,6080,..,3087480
LAUA,2372,E06000008,Blackburn with Darwen UA,35020,8390,8060,4180,2050,810,550,60,..,59130
LAUA,2373,E06000009,Blackpool UA,30270,20080,11190,4570,1830,550,270,30,..,68780
LAUA,0660,E06000049,Cheshire East UA,28340,32720,32670,23820,18620,12580,11750,1630,..,162130
LAUA,0665,E06000050,Cheshire West and Chester UA,31600,33880,28590,19370,14850,8650,7140,530,..,144600
