geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,5760080,4349980,4740910,3227490,2006000,1024560,740060,112620,..,21961690
NATL,N/A,E92000001,ENGLAND,5500840,4027790,4488030,3039880,1860640,972990,708060,109570,..,20707790
REGL,N/A,E12000001,NORTH EAST,672110,153350,150970,71210,34970,16040,9190,1070,..,1108890
LAUA,1355,E06000047,County Durham UA,144680,23350,22870,12830,6530,2640,1590,220,..,214710
LAUA,1350,E06000005,Darlington UA,22360,8360,5400,3740,1870,890,380,60,..,43060
LAUA,0724,E06000001,Hartlepool UA,24940,5480,4590,2070,820,290,150,20,..,38360
LAUA,0734,E06000002,Middlesbrough UA,34240,8640,9430,3930,1600,580,310,30,..,58770
LAUA,2935,E06000057,Northumberland UA,69210,21580,16170,11410,7670,5270,3220,360,..,134880
LAUA,0728,E06000003,Redcar and Cleveland UA,28240,11830,12780,4210,2170,620,310,20,..,60180
LAUA,0738,E06000004,Stockton-on-Tees UA,36230,13100,12680,6280,3240,1230,580,50,..,73390
CTYMET,N/A,E11000007,Tyne and Wear (Met County),312210,61010,67050,26750,11070,4520,2650,290,..,485540
LAUA,4505,E08000037,Gateshead,58720,9950,12380,4190,1670,590,270,40,..,87800
LAUA,4510,E08000021,Newcastle upon Tyne,75440,16600,16640,6730,3360,1550,1300,110,..,121720
LAUA,4515,E08000022,North Tyneside,49080,11100,17310,5920,2520,970,360,40,..,87290
LAUA,4520,E08000023,South Tyneside,46080,8720,6720,3650,1410,660,310,40,..,67580
LAUA,4525,E08000024,Sunderland,82900,14640,14010,6270,2110,760,420,60,..,121160
REGL,N/A,E12000002,NORTH WEST,1317840,546710,499070,269010,150510,74980,52220,5240,..,2915590
LAUA,2372,E06000008,Blackburn with Darwen UA,36770,7260,7340,3220,1650,770,490,70,..,57560
LAUA,2373,E06000009,Blackpool UA,28440,19260,10960,4320,1430,530,290,30,..,65270
LAUA,0660,E06000049,Cheshire East UA,27310,30610,30850,21080,16240,10910,9980,1340,..,148320
LAUA,0665,E06000050,Cheshire West and Chester UA,29800,32530,26620,17120,12730,7570,6300,410,..,133080
LAUA,0650,E06000006,Halton UA,25780,10050,7170,3700,2070,420,170,40,..,49380
LAUA,0655,E06000007,Warrington UA,25490,16340,16850,9360,5120,3210,1670,90,..,78120
CTYMET,N/A,E10000006,Cumbria,90940,42070,35570,25700,14760,6790,3770,390,..,219980
LAUA,0905,E07000026,Allerdale,22120,6490,6130,4170,2180,860,430,30,..,42400
LAUA,0910,E07000027,Barrow-in-Furness,19570,5330,4180,1950,660,180,50,10,..,31940
LAUA,0915,E07000028,Carlisle,22330,10020,5820,4040,1860,670,260,30,..,45020
LAUA,0920,E07000029,Copeland,19290,4140,3500,2400,1240,320,80,10,..,30980
LAUA,0925,E07000030,Eden,3680,6220,4500,3830,2430,770,310,40,..,21770
LAUA,0930,E07000031,South Lakeland,3960,9880,11430,9300,6400,4000,2640,270,..,47870
CTYMET,N/A,E11000001,Greater Manchester (Met County),554140,191400,177690,85900,44300,19620,13120,1620,..,1087780
LAUA,4205,E08000001,Bolton,61370,17480,16280,8690,4060,1750,1500,190,..,111320
LAUA,4210,E08000002,Bury,28140,16290,15710,8100,4550,1600,1200,180,..,75770
LAUA,4215,E08000003,Manchester,133860,23600,20170,7130,2560,1190,600,80,..,189190
LAUA,4220,E08000004,Oldham,51850,15550,14260,5260,2420,1180,760,80,..,91340
LAUA,4225,E08000005,Rochdale,52260,12910,10200,6450,3370,1170,730,50,..,87140
LAUA,4230,E08000006,Salford,60240,17240,12980,5290,2470,1160,760,100,..,100240
LAUA,4235,E08000007,Stockport,29710,25910,27020,17960,11900,5610,3060,150,..,121320
LAUA,4240,E08000008,Tameside,52960,15540,16930,4920,2450,760,310,30,..,93910
LAUA,4245,E08000009,Trafford,18140,19620,23950,13630,6940,3960,3760,710,..,90710
LAUA,4250,E08000010,Wigan,65610,27270,20200,8480,3580,1230,450,50,..,126850
CTYMET,N/A,E10000017,Lancashire,188550,91320,89170,54590,30240,14310,8690,660,..,477540
LAUA,2315,E07000117,Burnley,26370,4100,5840,2320,1070,300,150,20,..,40170
LAUA,2320,E07000118,Chorley,13250,9450,7720,4620,3140,1370,610,50,..,40210
LAUA,2325,E07000119,Fylde,5670,5750,8120,6180,3900,1980,1290,60,..,32950
LAUA,2330,E07000120,Hyndburn,21430,4530,5170,2320,730,260,200,10,..,34650
LAUA,2335,E07000121,Lancaster,19820,14410,10520,5430,3260,1520,700,70,..,55720
LAUA,2340,E07000122,Pendle,24350,4080,3730,2350,1380,810,490,50,..,37250
LAUA,2345,E07000123,Preston,26330,10790,8650,5700,2060,950,780,50,..,55300
LAUA,2350,E07000124,Ribble Valley,2910,4410,4630,4190,2830,1600,1470,180,..,22220
LAUA,2355,E07000125,Rossendale,15340,4450,3370,2780,1450,540,400,40,..,28370
LAUA,2360,E07000126,South Ribble,9140,10730,11270,6230,2850,1160,420,20,..,41810
LAUA,2365,E07000127,West Lancashire,14080,7820,8810,5740,3700,2010,1330,60,..,43550
LAUA,2370,E07000128,Wyre,9850,10800,11340,6730,3890,1810,850,60,..,45320
CTYMET,N/A,E11000002,Merseyside (Met County),310620,105890,96860,44030,21970,10840,7760,610,..,598560
LAUA,4305,E08000011,Knowsley,38860,10460,7960,2470,820,170,110,20,..,60870
LAUA,4310,E08000012,Liverpool,139910,27210,19730,10390,4020,1810,1480,130,..,204680
LAUA,4320,E08000014,Sefton,37970,24260,28900,13700,7570,3570,2750,200,..,118910
LAUA,4315,E08000013,St. Helens,36230,14710,13790,5280,2310,1150,460,20,..,73960
LAUA,4325,E08000015,Wirral,57650,29240,26480,12190,7250,4140,2960,230,..,140150
REGL,N/A,E12000003,YORKSHIRE AND THE HUMBER,1003610,412070,340510,170280,105100,50800,30680,2690,..,2115750
LAUA,2001,E06000011,East Riding of Yorkshire UA,37720,31270,26180,18510,11170,4450,2420,210,..,131920
LAUA,2004,E06000010,"Kingston upon Hull, City of UA",84770,19110,7100,2090,550,180,70,40,..,113900
