geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,5791180,4371700,4768030,3258140,2032170,1040580,750440,114160,..,22126390
NATL,N/A,E92000001,ENGLAND,5530860,4048250,4512850,3069040,1885180,987840,717960,111100,..,20863090
REGL,N/A,E12000001,NORTH EAST,673200,154650,152160,72760,35750,16300,9350,1120,..,1115270
LAUA,1355,E06000047,County Durham UA,144880,23590,23290,13220,6760,2680,1620,220,..,216270
LAUA,1350,E06000005,Darlington UA,22440,8440,5560,3840,1930,920,380,60,..,43580
LAUA,0724,E06000001,Hartlepool UA,25080,5450,4570,2190,850,320,160,20,..,38640
LAUA,0734,E06000002,Middlesbrough UA,34490,8640,9480,3980,1640,590,310,40,..,59160
LAUA,2935,E06000057,Northumberland UA,69320,21630,16500,11650,7820,5350,3300,370,..,135940
LAUA,0728,E06000003,Redcar and Cleveland UA,28200,11830,12850,4230,2190,620,310,20,..,60250
LAUA,0738,E06000004,Stockton-on-Tees UA,36390,13230,12820,6600,3340,1270,610,60,..,74320
CTYMET,N/A,E11000007,Tyne and Wear (Met County),312400,61830,67090,27040,11220,4540,2660,330,..,487120
LAUA,4505,E08000037,Gateshead,58700,10000,12420,4230,1690,590,280,50,..,87940
LAUA,4510,E08000021,Newcastle upon Tyne,75350,16800,16410,6810,3340,1550,1300,120,..,121680
LAUA,4515,E08000022,North Tyneside,49370,11530,17250,5980,2590,970,350,40,..,88100
LAUA,4520,E08000023,South Tyneside,46100,8790,6770,3660,1440,660,310,50,..,67770
LAUA,4525,E08000024,Sunderland,82880,14700,14240,6360,2170,770,420,80,..,121620
REGL,N/A,E12000002,NORTH WEST,1321940,549720,501520,271880,153320,75890,52580,5290,..,2932140
LAUA,2372,E06000008,Blackburn with Darwen UA,36750,7410,7450,3310,1690,770,500,60,..,57950
LAUA,2373,E06000009,Blackpool UA,28740,19320,10950,4350,1450,530,280,30,..,65660
LAUA,0660,E06000049,Cheshire East UA,27700,30790,31050,21370,16650,11110,10100,1360,..,150130
LAUA,0665,E06000050,Cheshire West and Chester UA,30120,32670,26790,17270,12940,7710,6370,410,..,134270
LAUA,0650,E06000006,Halton UA,25740,10080,7250,3840,2160,440,180,40,..,49730
LAUA,0655,E06000007,Warrington UA,25520,16380,16890,9550,5280,3310,1700,100,..,78710
CTYMET,N/A,E10000006,Cumbria,91070,42370,35820,25910,14980,6880,3790,390,..,221200
LAUA,0905,E07000026,Allerdale,22020,6560,6180,4250,2220,880,450,30,..,42580
LAUA,0910,E07000027,Barrow-in-Furness,19600,5350,4210,1960,680,190,60,10,..,32050
LAUA,0915,E07000028,Carlisle,22460,10040,5900,4120,1920,700,260,30,..,45420
LAUA,0920,E07000029,Copeland,19340,4160,3560,2430,1260,320,80,10,..,31160
LAUA,0925,E07000030,Eden,3650,6260,4560,3890,2500,790,320,40,..,21990
LAUA,0930,E07000031,South Lakeland,4020,9990,11410,9260,6410,4010,2620,270,..,48000
CTYMET,N/A,E11000001,Greater Manchester (Met County),556460,192260,178360,86290,45060,19720,13180,1640,..,1092980
LAUA,4205,E08000001,Bolton,61500,17680,16480,8870,4160,1800,1540,190,..,112210
LAUA,4210,E08000002,Bury,28110,16460,15720,8130,4610,1590,1220,180,..,76010
LAUA,4215,E08000003,Manchester,133940,23910,20240,6950,2630,1170,590,80,..,189520
LAUA,4220,E08000004,Oldham,52360,15510,14210,5340,2500,1220,760,80,..,91960
LAUA,4225,E08000005,Rochdale,52520,13000,10270,6500,3420,1190,730,50,..,87680
LAUA,4230,E08000006,Salford,60810,17310,12890,5340,2570,1170,750,100,..,100940
LAUA,4235,E08000007,Stockport,29920,25900,27000,18000,11910,5620,3030,140,..,121530
LAUA,4240,E08000008,Tameside,53080,15580,16950,5030,2470,770,310,30,..,94220
LAUA,4245,E08000009,Trafford,18510,19490,24200,13340,7000,3960,3810,730,..,91040
LAUA,4250,E08000010,Wigan,65710,27430,20410,8800,3790,1250,450,50,..,127880
CTYMET,N/A,E10000017,Lancashire,189540,91940,89680,55410,30850,14540,8730,660,..,481360
LAUA,2315,E07000117,Burnley,26120,4160,5940,2430,1110,300,150,20,..,40220
LAUA,2320,E07000118,Chorley,13300,9570,7770,4710,3210,1440,620,50,..,40670
LAUA,2325,E07000119,Fylde,5730,5800,8150,6230,3970,2010,1310,60,..,33270
LAUA,2330,E07000120,Hyndburn,21530,4630,5230,2380,730,260,200,10,..,34970
LAUA,2335,E07000121,Lancaster,19990,14540,10590,5440,3280,1540,700,70,..,56150
LAUA,2340,E07000122,Pendle,24380,4080,3770,2400,1410,830,490,50,..,37410
LAUA,2345,E07000123,Preston,26880,10580,8750,5830,2160,990,790,50,..,56020
LAUA,2350,E07000124,Ribble Valley,2960,4470,4660,4240,2890,1620,1500,180,..,22520
LAUA,2355,E07000125,Rossendale,15410,4440,3400,2800,1450,540,380,40,..,28460
LAUA,2360,E07000126,South Ribble,9230,10860,11230,6370,2930,1160,420,20,..,42230
LAUA,2365,E07000127,West Lancashire,14080,7950,8810,5850,3800,2030,1330,60,..,43890
LAUA,2370,E07000128,Wyre,9930,10870,11380,6750,3920,1830,840,70,..,45580
CTYMET,N/A,E11000002,Merseyside (Met County),310290,106500,97290,44590,22260,10870,7740,610,..,600150
LAUA,4305,E08000011,Knowsley,38950,10620,8020,2660,930,180,100,20,..,61480
LAUA,4310,E08000012,Liverpool,139040,27450,19820,10560,4070,1820,1480,130,..,204370
LAUA,4320,E08000014,Sefton,38220,24360,29000,13790,7600,3570,2750,210,..,119490
LAUA,4315,E08000013,St. Helens,36330,14780,13940,5350,2350,1180,470,20,..,74430
LAUA,4325,E08000015,Wirral,57750,29300,26510,12240,7320,4120,2950,230,..,140400
REGL,N/A,E12000003,YORKSHIRE AND THE HUMBER,1007470,414380,342660,173120,107160,51840,31160,2720,..,2130510
LAUA,2001,E06000011,East Riding of Yorkshire UA,37960,31520,26440,18790,11300,4530,2420,210,..,133150
LAUA,2004,E06000010,"Kingston upon Hull, City of UA",84900,19430,7250,2120,560,180,70,40,..,114540
LAUA,2002,E06000012,North East Lincolnshire UA,38280,15760,7880,3350,1310,510,330,40,..,67450
LAUA,2003,E06000013,North Lincolnshire UA,34290,12590,9400,5310,2340,810,350,20,..,65110
LAUA,2741,E06000014,York UA,10050,22790,22840,10430,6040,2490,1160,80,..,75880
CTYMET,N/A,E10000023,North Yorkshire,40490,55510,58020,36300,28230,16760,11000,990,..,247300
LAUA,2705,E07000163,Craven,3630,5420,5570,3320,2660,1690,1160,110,..,23540
