geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,5825450,4435260,4845570,3359630,2120980,1094920,784010,119600,..,22585430
NATL,N/A,E92000001,ENGLAND,5565400,4110660,4585600,3166130,1967710,1037590,749530,116460,..,21299080
REGL,N/A,E12000001,NORTH EAST,670810,156530,156460,78560,39010,17240,9970,1140,..,1129710
LAUA,1355,E06000047,County Durham UA,144070,24180,24270,14610,7460,2870,1720,230,..,219390
LAUA,1350,E06000005,Darlington UA,22200,8630,5870,4160,2260,960,420,60,..,44550
LAUA,0724,E06000001,Hartlepool UA,25100,5690,4890,2440,1010,400,250,20,..,39800
LAUA,0734,E06000002,Middlesbrough UA,34450,8900,9520,4140,1670,610,320,40,..,59640
LAUA,2935,E06000057,Northumberland UA,69570,21730,17070,12790,8380,5560,3470,380,..,138950
LAUA,0728,E06000003,Redcar and Cleveland UA,28290,11660,13010,4340,2270,640,330,20,..,60550
LAUA,0738,E06000004,Stockton-on-Tees UA,36580,13470,13330,7420,3970,1410,740,70,..,76980
CTYMET,N/A,E11000007,Tyne and Wear (Met County),310560,62280,68500,28670,12010,4790,2730,320,..,489850
LAUA,4505,E08000037,Gateshead,58360,10030,12690,4510,1820,650,300,50,..,88420
LAUA,4510,E08000021,Newcastle upon Tyne,73890,17200,16410,7110,3480,1620,1290,110,..,121120
LAUA,4515,E08000022,North Tyneside,49340,11880,17870,6500,2780,1000,360,40,..,89770
LAUA,4520,E08000023,South Tyneside,46510,8280,6850,3730,1490,670,330,50,..,67910
LAUA,4525,E08000024,Sunderland,82450,14890,14670,6820,2430,850,450,80,..,122630
REGL,N/A,E12000002,NORTH WEST,1326420,559800,510870,282250,163100,80500,55110,5490,..,2983520
LAUA,2372,E06000008,Blackburn with Darwen UA,36180,7710,7730,3690,1860,780,530,60,..,58540
LAUA,2373,E06000009,Blackpool UA,29420,19510,10980,4400,1550,560,270,30,..,66720
LAUA,0660,E06000049,Cheshire East UA,27970,31030,31530,22030,17500,11770,10610,1470,..,153900
LAUA,0665,E06000050,Cheshire West and Chester UA,30700,32970,27440,18020,13750,8140,6660,440,..,138120
LAUA,0650,E06000006,Halton UA,25680,10250,7390,4110,2730,580,210,40,..,50970
LAUA,0655,E06000007,Warrington UA,25610,16410,17120,9810,5600,3630,2060,100,..,80330
CTYMET,N/A,E10000006,Cumbria,91430,43120,36740,27060,15900,7450,4020,390,..,226110
LAUA,0905,E07000026,Allerdale,21910,6780,6350,4460,2400,940,460,20,..,43320
LAUA,0910,E07000027,Barrow-in-Furness,19710,5440,4290,2020,730,200,60,10,..,32450
LAUA,0915,E07000028,Carlisle,22470,10210,6140,4350,2100,800,280,30,..,46380
LAUA,0920,E07000029,Copeland,19270,4200,3650,2590,1320,360,90,10,..,31490
LAUA,0925,E07000030,Eden,3830,6390,4720,4130,2730,860,360,40,..,23050
LAUA,0930,E07000031,South Lakeland,4250,10100,11590,9510,6630,4290,2770,280,..,49410
CTYMET,N/A,E11000001,Greater Manchester (Met County),557630,195720,181860,89430,47980,20850,13700,1670,..,1108830
LAUA,4205,E08000001,Bolton,62160,18200,16700,9180,4530,1940,1640,190,..,114540
LAUA,4210,E08000002,Bury,28380,16570,15940,8330,4880,1650,1240,170,..,77160
LAUA,4215,E08000003,Manchester,134140,25410,21520,7630,3100,1300,640,80,..,193810
LAUA,4220,E08000004,Oldham,52370,15340,14330,5740,2820,1310,800,70,..,92780
LAUA,4225,E08000005,Rochdale,52450,13120,10540,6800,3680,1340,780,50,..,88760
LAUA,4230,E08000006,Salford,60260,17900,12960,5400,2700,1200,780,100,..,101300
LAUA,4235,E08000007,Stockport,30350,25880,26910,18110,12080,5810,3120,150,..,122410
LAUA,4240,E08000008,Tameside,52980,15770,17280,5330,2640,790,330,30,..,95160
LAUA,4245,E08000009,Trafford,18720,19460,24500,13270,7050,4030,3880,770,..,91680
LAUA,4250,E08000010,Wigan,65840,28060,21190,9640,4500,1490,480,50,..,131230
CTYMET,N/A,E10000017,Lancashire,192350,93470,91150,57190,32880,15390,9090,680,..,492190
LAUA,2315,E07000117,Burnley,25960,4290,6130,2530,1230,310,140,20,..,40600
LAUA,2320,E07000118,Chorley,13730,9550,7910,4990,3640,1550,650,60,..,42080
LAUA,2325,E07000119,Fylde,6110,5780,8270,6350,4030,2040,1360,70,..,34010
LAUA,2330,E07000120,Hyndburn,21660,4800,5360,2480,780,250,190,10,..,35530
LAUA,2335,E07000121,Lancaster,20670,14770,10630,5620,3410,1590,760,60,..,57510
LAUA,2340,E07000122,Pendle,24510,4140,3910,2530,1520,860,490,50,..,38010
LAUA,2345,E07000123,Preston,27020,10680,8990,6010,2310,1070,770,50,..,56900
LAUA,2350,E07000124,Ribble Valley,3060,4580,4690,4290,3010,1740,1640,180,..,23190
LAUA,2355,E07000125,Rossendale,15620,4390,3510,2880,1610,550,400,40,..,29000
LAUA,2360,E07000126,South Ribble,9400,11370,11230,6690,3100,1250,430,20,..,43480
LAUA,2365,E07000127,West Lancashire,14230,8020,9040,5990,4140,2200,1410,70,..,45110
LAUA,2370,E07000128,Wyre,10380,11090,11470,6820,4100,1990,860,70,..,46780
CTYMET,N/A,E11000002,Merseyside (Met County),309450,109630,98920,46510,23350,11360,7980,600,..,607800
LAUA,4305,E08000011,Knowsley,38800,11380,8110,3120,1300,240,120,20,..,63070
LAUA,4310,E08000012,Liverpool,138090,28790,20690,11100,4290,1920,1530,130,..,206530
LAUA,4320,E08000014,Sefton,38580,24630,29220,14150,7730,3700,2760,210,..,120970
LAUA,4315,E08000013,St. Helens,36060,15180,14180,5620,2490,1300,550,20,..,75390
LAUA,4325,E08000015,Wirral,57930,29650,26730,12520,7550,4210,3020,230,..,141830
REGL,N/A,E12000003,YORKSHIRE AND THE HUMBER,1008770,420650,349340,183620,115760,55910,33060,2910,..,2170010
LAUA,2001,E06000011,East Riding of Yorkshire UA,38150,32150,27310,19990,12250,5060,2520,210,..,137640
LAUA,2004,E06000010,"Kingston upon Hull, City of UA",84400,19880,7720,2410,620,210,60,40,..,115350
LAUA,2002,E06000012,North East Lincolnshire UA,38420,15990,8060,3810,1490,560,350,40,..,68710
LAUA,2003,E06000013,North Lincolnshire UA,34580,12930,9690,5760,2560,880,370,20,..,66780
LAUA,2741,E06000014,York UA,10390,23060,23600,11110,6490,2870,1320,90,..,78930
CTYMET,N/A,E10000023,North Yorkshire,41800,56000,58840,37310,29310,17740,11680,1050,..,253710
LAUA,2705,E07000163,Craven,3850,5470,5520,3430,2740,1760,1210,110,..,24090
LAUA,2710,E07000164,Hambleton,3110,7570,8480,6100,5440,3430,2180,140,..,36450
LAUA,2715,E07000165,Harrogate,7100,12820,16350,9780,8440,5820,5010,540,..,65850
LAUA,2720,E07000166,Richmondshire,3250,4440,4830,2990,2760,1390,750,70,..,20480
LAUA,2725,E07000167,Ryedale,2100,5560,5280,3840,2950,1760,1070,90,..,22650
LAUA,2730,E07000168,Scarborough,14460,13310,11760,6650,3660,1640,670,40,..,52180
LAUA,2735,E07000169,Selby,7940,6830,6620,4530,3330,1940,790,50,..,32010
CTYMET,N/A,E11000003,South Yorkshire (Met County),344440,88700,59890,34020,16570,7180,3920,330,..,555050
LAUA,4405,E08000016,Barnsley,62610,14300,9620,6240,2430,930,480,40,..,96640
LAUA,4410,E08000017,Doncaster,78080,21650,12450,7450,3480,1280,620,100,..,125120
LAUA,4415,E08000018,Rotherham,62080,19680,12460,7210,3120,1350,500,50,..,106440
LAUA,4420,E08000019,Sheffield,141660,33060,25360,13130,7540,3610,2330,150,..,226850
CTYMET,N/A,E11000006,West Yorkshire (Met County),416610,171950,154240,69210,46480,21400,12840,1120,..,893850
LAUA,4705,E08000032,Bradford,87860,39200,34850,14020,9950,4640,3200,260,..,193960
LAUA,4710,E08000033,Calderdale,43030,15690,13310,5880,4190,2250,1040,30,..,85420
LAUA,4715,E08000034,Kirklees,79050,30130,28640,13550,9700,4090,1660,120,..,166940
LAUA,4720,E08000035,Leeds,130440,63060,58750,25920,17060,8720,6070,630,..,310650
LAUA,4725,E08000036,Wakefield,76230,23880,18700,9840,5580,1700,880,80,..,136890
REGL,N/A,E12000004,EAST MIDLANDS,706460,403960,317920,181310,105210,50620,30020,2770,..,1798260
LAUA,1055,E06000015,Derby UA,53420,18310,14790,7390,3580,1580,490,40,..,99610
LAUA,2465,E06000016,Leicester UA,73720,21790,12760,4770,2270,1020,540,70,..,116950
LAUA,3060,E06000018,Nottingham UA,82010,18120,11650,4870,2000,910,660,130,..,120360
LAUA,2470,E06000017,Rutland UA,1380,3710,2580,2030,2040,1300,1010,120,..,14150
CTYMET,N/A,E10000007,Derbyshire,126870,71990,51940,33510,19590,10300,6520,520,..,321230
LAUA,1005,E07000032,Amber Valley,20640,11010,8980,5320,2560,1340,1290,110,..,51250
LAUA,1010,E07000033,Bolsover,21040,4760,3370,1830,740,370,100,20,..,32240
LAUA,1015,E07000034,Chesterfield,25930,8990,5390,3160,1410,460,200,20,..,45560
LAUA,1045,E07000035,Derbyshire Dales,3170,6490,6680,5070,4420,2760,2040,130,..,30770
LAUA,1025,E07000036,Erewash,20280,12450,7080,4650,1980,720,460,40,..,47650
LAUA,1030,E07000037,High Peak,7420,12100,8240,4110,3190,1790,830,60,..,37740
LAUA,1035,E07000038,North East Derbyshire,18190,8090,6650,4330,2540,1270,790,60,..,41930
LAUA,1040,E07000039,South Derbyshire,10190,8100,5550,5040,2760,1580,800,80,..,34110
CTYMET,N/A,E10000018,Leicestershire,42630,74060,58700,35440,23060,10510,6420,620,..,251440
LAUA,2405,E07000129,Blaby,4220,13370,8730,5610,3380,1040,420,30,..,36800
