geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,5824950,4509970,4946340,3475010,2211200,1146340,814530,124070,..,23052400
NATL,N/A,E92000001,ENGLAND,5568060,4184460,4682620,3276220,2049630,1083610,777000,120750,..,21742360
REGL,N/A,E12000001,NORTH EAST,664630,159500,160610,84280,42510,18590,10770,1190,..,1142080
LAUA,1355,E06000047,County Durham UA,143140,24890,25240,15980,8080,3170,1820,230,..,222560
LAUA,1350,E06000005,Darlington UA,22150,8720,6060,4430,2530,1040,440,60,..,45420
LAUA,0724,E06000001,Hartlepool UA,25030,5810,5280,2690,1280,510,300,20,..,40920
LAUA,0734,E06000002,Middlesbrough UA,34100,8920,9580,4190,1730,620,370,40,..,59550
LAUA,2935,E06000057,Northumberland UA,69000,21970,17590,13780,8970,5800,3590,400,..,141110
LAUA,0728,E06000003,Redcar and Cleveland UA,27860,11720,13220,4670,2610,750,370,20,..,61230
LAUA,0738,E06000004,Stockton-on-Tees UA,36260,13560,13610,8110,4580,1700,960,90,..,78860
CTYMET,N/A,E11000007,Tyne and Wear (Met County),307080,63910,70030,30430,12740,5010,2920,320,..,492440
LAUA,4505,E08000037,Gateshead,58110,10340,13290,4950,1960,720,350,50,..,89770
LAUA,4510,E08000021,Newcastle upon Tyne,72160,17420,16850,7580,3730,1700,1330,110,..,120890
LAUA,4515,E08000022,North Tyneside,48790,12610,17900,6730,2850,1010,350,40,..,90290
LAUA,4520,E08000023,South Tyneside,46200,8390,6970,3830,1540,690,320,50,..,67980
LAUA,4525,E08000024,Sunderland,81820,15150,15020,7340,2660,880,570,70,..,123510
REGL,N/A,E12000002,NORTH WEST,1317630,572010,522000,294920,173630,84720,57980,5820,..,3028720
LAUA,2372,E06000008,Blackburn with Darwen UA,35480,7960,7870,4080,2020,800,540,60,..,58810
LAUA,2373,E06000009,Blackpool UA,29870,19670,11040,4490,1750,550,280,30,..,67680
LAUA,0660,E06000049,Cheshire East UA,28020,31750,32050,23030,18310,12120,11260,1550,..,158090
LAUA,0665,E06000050,Cheshire West and Chester UA,31190,33360,27820,18640,14310,8450,6970,500,..,141250
LAUA,0650,E06000006,Halton UA,25670,10320,7490,4220,3080,760,290,40,..,51860
LAUA,0655,E06000007,Warrington UA,25770,16630,17380,10150,5940,3900,2380,140,..,82300
CTYMET,N/A,E10000006,Cumbria,90890,43640,37910,28320,17080,8010,4200,400,..,230440
LAUA,0905,E07000026,Allerdale,21830,6890,6510,4760,2610,1010,460,20,..,44090
LAUA,0910,E07000027,Barrow-in-Furness,19690,5470,4410,2130,830,230,70,10,..,32840
LAUA,0915,E07000028,Carlisle,21960,10400,6590,4690,2330,910,300,30,..,47200
LAUA,0920,E07000029,Copeland,19200,4220,3740,2780,1450,380,90,20,..,31880
LAUA,0925,E07000030,Eden,3920,6490,4920,4360,2920,950,380,40,..,23970
LAUA,0930,E07000031,South Lakeland,4300,10170,11740,9600,6940,4540,2900,280,..,50470
CTYMET,N/A,E11000001,Greater Manchester (Met County),553250,200430,186350,93830,50990,21730,14240,1750,..,1122560
LAUA,4205,E08000001,Bolton,62140,18640,17010,9610,4900,1980,1720,200,..,116210
LAUA,4210,E08000002,Bury,28810,16740,16120,8510,5090,1700,1260,180,..,78390
LAUA,4215,E08000003,Manchester,132390,27640,23660,9080,3950,1610,720,100,..,199150
LAUA,4220,E08000004,Oldham,51810,15630,14660,6080,2990,1340,820,70,..,93400
LAUA,4225,E08000005,Rochdale,52170,13230,10670,7040,3920,1460,840,60,..,89390
LAUA,4230,E08000006,Salford,59190,18170,13220,5740,2780,1220,810,100,..,101230
LAUA,4235,E08000007,Stockport,30370,26070,27050,18310,12270,5810,3160,160,..,123190
LAUA,4240,E08000008,Tameside,52170,16120,17590,5540,2960,800,350,40,..,95560
LAUA,4245,E08000009,Trafford,18670,19820,24820,13630,7180,4240,4050,800,..,93200
LAUA,4250,E08000010,Wigan,65530,28390,21540,10300,4950,1570,520,50,..,132840
CTYMET,N/A,E10000017,Lancashire,193120,95340,92900,59600,35300,16600,9590,710,..,503160
LAUA,2315,E07000117,Burnley,25520,4340,6170,2640,1250,320,140,20,..,40380
LAUA,2320,E07000118,Chorley,13810,9650,8210,5370,4120,1620,720,60,..,43560
LAUA,2325,E07000119,Fylde,6340,5870,8320,6500,4220,2250,1390,70,..,34950
LAUA,2330,E07000120,Hyndburn,21650,4910,5450,2600,850,270,170,10,..,35900
LAUA,2335,E07000121,Lancaster,21040,15080,11040,5830,3570,1760,790,70,..,59170
LAUA,2340,E07000122,Pendle,24590,4260,4020,2760,1660,900,490,50,..,38740
LAUA,2345,E07000123,Preston,26990,11000,9210,6160,2410,1140,820,50,..,57760
LAUA,2350,E07000124,Ribble Valley,3220,4630,4730,4360,3080,1910,1840,190,..,23950
LAUA,2355,E07000125,Rossendale,15710,4410,3610,3080,1680,600,410,40,..,29530
LAUA,2360,E07000126,South Ribble,9460,11690,11420,7000,3510,1420,470,20,..,44980
LAUA,2365,E07000127,West Lancashire,14240,8240,9150,6310,4470,2310,1460,70,..,46250
LAUA,2370,E07000128,Wyre,10570,11270,11600,7010,4490,2100,890,70,..,47990
CTYMET,N/A,E11000002,Merseyside (Met County),304370,112910,101200,48550,24850,11810,8250,640,..,612580
LAUA,4305,E08000011,Knowsley,37730,11940,8370,3440,1410,250,130,20,..,63280
LAUA,4310,E08000012,Liverpool,134620,30590,22080,12040,4630,2080,1590,120,..,207750
LAUA,4320,E08000014,Sefton,38790,25040,29490,14380,8000,3790,2830,220,..,122530
