geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,6149190,5093320,5646700,4018600,2537870,1356960,911270,157280,5590,25876790
NATL,N/A,E92000001,ENGLAND,5938710,4791270,5333400,3785700,2344640,1239760,857960,144430,..,24435870
REGL,N/A,E12000001,NORTH EAST,665100,195100,184760,103520,53530,23240,13090,1460,..,1239790
LAUA,1355,E06000047,County Durham UA,143760,33780,30520,21510,10370,4040,2180,280,..,246440
LAUA,1350,E06000005,Darlington UA,22810,10600,7300,5360,3030,1230,560,50,..,50930
LAUA,0724,E06000001,Hartlepool UA,23970,7470,6270,3310,1720,720,480,70,..,44010
LAUA,0734,E06000002,Middlesbrough UA,33110,10700,10880,5100,2400,820,530,50,..,63600
LAUA,2935,E06000057,Northumberland UA,70600,24600,20090,16640,10880,6750,4200,540,..,154270
LAUA,0728,E06000003,Redcar and Cleveland UA,26760,13370,14130,5720,3340,920,400,30,..,64660
LAUA,0738,E06000004,Stockton-on-Tees UA,35090,16810,15920,9760,5780,2510,1340,130,..,87330
CTYMET,N/A,E11000007,Tyne and Wear (Met County),309010,77770,79650,36140,16020,6240,3410,320,..,528560
LAUA,4505,E08000037,Gateshead,56480,12790,15260,5670,2390,850,370,50,..,93860
LAUA,4510,E08000021,Newcastle upon Tyne,76510,20490,19250,8970,4620,2290,1730,130,..,133970
LAUA,4515,E08000022,North Tyneside,50310,15670,19340,7850,3970,1300,360,40,..,98830
LAUA,4520,E08000023,South Tyneside,45850,10170,8480,4640,1790,720,330,40,..,72020
LAUA,4525,E08000024,Sunderland,79870,18660,17320,9010,3250,1090,620,60,..,129880
REGL,N/A,E12000002,NORTH WEST,1354870,667130,579660,337220,197080,96010,62110,6850,..,3300940
LAUA,2372,E06000008,Blackburn with Darwen UA,35600,9400,8420,4400,2070,790,580,70,..,61340
LAUA,2373,E06000009,Blackpool UA,32060,20970,11270,4670,1870,570,250,30,..,71680
LAUA,0660,E06000049,Cheshire East UA,30800,36560,34470,26190,20540,13970,12300,1850,..,176670
LAUA,0665,E06000050,Cheshire West and Chester UA,34650,37170,31330,21370,16220,9880,7640,600,..,158850
LAUA,0650,E06000006,Halton UA,27080,12310,8070,4970,3690,1190,380,40,..,57710
LAUA,0655,E06000007,Warrington UA,26830,20630,19260,11850,7270,4480,2630,210,..,93160
CTYMET,N/A,E10000006,Cumbria,92920,48380,41770,31480,19530,8770,4240,410,..,247490
LAUA,0905,E07000026,Allerdale,22170,7810,7260,5450,3000,1090,460,30,..,47250
LAUA,0910,E07000027,Barrow-in-Furness,19760,5490,4710,2350,1020,240,70,10,..,33650
LAUA,0915,E07000028,Carlisle,22460,12170,7890,5680,2860,1180,390,30,..,52660
LAUA,0920,E07000029,Copeland,19270,4660,4140,3200,1880,440,90,20,..,33690
LAUA,0925,E07000030,Eden,4310,7230,5500,4770,3350,1070,400,50,..,26680
LAUA,0930,E07000031,South Lakeland,4950,11030,12270,10040,7420,4760,2840,280,..,53570
CTYMET,N/A,E11000001,Greater Manchester (Met County),560580,240640,213810,112650,58570,24570,15220,2050,..,1228110
LAUA,4205,E08000001,Bolton,64450,21660,18610,10500,5530,2240,1840,240,..,125070
LAUA,4210,E08000002,Bury,30310,18500,17270,9140,5460,1840,1270,180,..,83960
LAUA,4215,E08000003,Manchester,133240,39980,33280,15780,5540,2120,870,100,..,230900
LAUA,4220,E08000004,Oldham,50580,17190,16220,6910,3280,1530,890,80,..,96670
LAUA,4225,E08000005,Rochdale,51050,16200,12340,7820,4410,1660,870,60,..,94400
LAUA,4230,E08000006,Salford,60200,26050,17630,9230,3620,1430,860,100,..,119110
LAUA,4235,E08000007,Stockport,31220,27980,28160,19300,12840,6360,3410,200,..,129440
LAUA,4240,E08000008,Tameside,52580,18970,19470,6760,3730,920,420,40,..,102890
