geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,5826240,4545660,4989470,3516680,2237130,1160270,821060,125460,..,23221960
NATL,N/A,E92000001,ENGLAND,5570440,4219680,4724330,3316040,2072680,1095690,782710,122060,..,21903630
REGL,N/A,E12000001,NORTH EAST,663130,161030,162030,85960,43680,18980,11030,1200,..,1147040
LAUA,1355,E06000047,County Durham UA,142670,25260,25650,16530,8340,3240,1890,230,..,223810
LAUA,1350,E06000005,Darlington UA,22240,8920,6120,4520,2630,1070,450,50,..,45990
LAUA,0724,E06000001,Hartlepool UA,25020,5860,5280,2730,1320,520,360,30,..,41120
LAUA,0734,E06000002,Middlesbrough UA,33830,8910,9600,4230,1780,630,370,40,..,59400
LAUA,2935,E06000057,Northumberland UA,68940,22140,17650,13990,9170,5880,3640,410,..,141820
LAUA,0728,E06000003,Redcar and Cleveland UA,27790,11740,13260,4760,2720,780,370,20,..,61440
LAUA,0738,E06000004,Stockton-on-Tees UA,36040,13590,13680,8220,4660,1740,1000,90,..,79010
CTYMET,N/A,E11000007,Tyne and Wear (Met County),306600,64620,70770,30990,13070,5130,2950,310,..,494450
LAUA,4505,E08000037,Gateshead,58180,10460,13520,5080,2000,720,350,40,..,90360
LAUA,4510,E08000021,Newcastle upon Tyne,72100,17440,17030,7660,3820,1770,1360,120,..,121290
LAUA,4515,E08000022,North Tyneside,48820,12950,17890,6840,2900,1030,350,40,..,90810
LAUA,4520,E08000023,South Tyneside,46090,8510,7090,3900,1550,690,320,50,..,68200
LAUA,4525,E08000024,Sunderland,81420,15270,15230,7520,2800,920,570,70,..,123790
REGL,N/A,E12000002,NORTH WEST,1314330,578510,526270,299630,176110,85730,58540,5900,..,3045010
LAUA,2372,E06000008,Blackburn with Darwen UA,35220,8240,7910,4110,2020,800,550,60,..,58910
LAUA,2373,E06000009,Blackpool UA,29900,19800,11070,4520,1780,550,270,30,..,67910
