geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,5919100,4792530,5295640,3735930,2349150,1254820,857120,142850,5300,24352430
NATL,N/A,E92000001,ENGLAND,5713760,4498590,4996240,3515350,2168190,1145030,806490,130640,..,22974290
REGL,N/A,E12000001,NORTH EAST,658620,175980,171500,93310,47080,20540,11880,1360,..,1180270
LAUA,1355,E06000047,County Durham UA,143170,28930,28160,19020,9400,3550,1990,260,..,234470
LAUA,1350,E06000005,Darlington UA,22540,9710,6780,4960,2780,1130,490,50,..,48450
LAUA,0724,E06000001,Hartlepool UA,24310,6570,5780,2930,1440,580,410,50,..,42070
LAUA,0734,E06000002,Middlesbrough UA,33010,9700,10210,4590,1860,640,440,50,..,60510
LAUA,2935,E06000057,Northumberland UA,69920,22730,18540,14860,9780,6270,3850,490,..,146430
LAUA,0728,E06000003,Redcar and Cleveland UA,26730,12410,13590,5060,2950,840,380,20,..,61990
LAUA,0738,E06000004,Stockton-on-Tees UA,35240,15300,14640,9030,5050,2060,1200,110,..,82630
CTYMET,N/A,E11000007,Tyne and Wear (Met County),303720,70630,73800,32860,13820,5470,3120,320,..,503730
LAUA,4505,E08000037,Gateshead,57750,11610,14230,5260,2110,780,360,50,..,92130
LAUA,4510,E08000021,Newcastle upon Tyne,71430,18490,17630,8270,4060,2000,1500,130,..,123510
LAUA,4515,E08000022,North Tyneside,49420,14700,18200,7200,3120,1030,340,40,..,94040
LAUA,4520,E08000023,South Tyneside,45970,9200,7670,4060,1640,670,320,50,..,69580
LAUA,4525,E08000024,Sunderland,79150,16630,16080,8070,2900,990,600,70,..,124470
REGL,N/A,E12000002,NORTH WEST,1321570,623370,550670,317060,183200,89530,59770,6410,..,3151570
LAUA,2372,E06000008,Blackburn with Darwen UA,35100,8860,8150,4240,2050,790,560,70,..,59810
LAUA,2373,E06000009,Blackpool UA,31480,20550,11200,4600,1830,540,270,30,..,70490
LAUA,0660,E06000049,Cheshire East UA,29140,34260,32750,24240,18710,12850,11840,1710,..,165490
LAUA,0665,E06000050,Cheshire West and Chester UA,32100,34920,29050,19580,15070,8850,7120,550,..,147240
LAUA,0650,E06000006,Halton UA,25930,11630,7760,4620,3250,1010,340,40,..,54570
LAUA,0655,E06000007,Warrington UA,26090,18990,18610,11180,6540,4280,2540,190,..,88420
CTYMET,N/A,E10000006,Cumbria,91840,45490,39680,29660,18260,8360,4230,410,..,237930
LAUA,0905,E07000026,Allerdale,21920,7140,6770,4990,2760,1050,470,30,..,45120
LAUA,0910,E07000027,Barrow-in-Furness,19730,5450,4570,2260,950,230,70,10,..,33270
LAUA,0915,E07000028,Carlisle,22130,11270,7200,5070,2480,1010,340,30,..,49520
LAUA,0920,E07000029,Copeland,19200,4370,4010,2980,1750,430,90,20,..,32860
LAUA,0925,E07000030,Eden,4170,6700,5140,4530,3160,1020,390,50,..,25150
LAUA,0930,E07000031,South Lakeland,4690,10560,11990,9830,7170,4620,2880,270,..,52010
CTYMET,N/A,E11000001,Greater Manchester (Met County),551860,223850,200860,105370,55020,23200,14640,1940,..,1176740
LAUA,4205,E08000001,Bolton,63040,20660,18120,10180,5220,2160,1770,230,..,121390
LAUA,4210,E08000002,Bury,29640,17730,16850,8770,5190,1780,1270,180,..,81410
LAUA,4215,E08000003,Manchester,130570,35450,29910,14300,5220,1960,760,100,..,218270
LAUA,4220,E08000004,Oldham,50600,16290,15220,6500,3180,1440,850,70,..,94140
LAUA,4225,E08000005,Rochdale,51110,14510,11290,7430,3960,1540,860,50,..,90740
LAUA,4230,E08000006,Salford,58970,22470,14920,7270,3270,1370,830,100,..,109200
LAUA,4235,E08000007,Stockport,30620,27070,27460,18730,12460,5980,3260,170,..,125740
LAUA,4240,E08000008,Tameside,51890,17990,18390,6240,3390,860,370,40,..,99170
LAUA,4245,E08000009,Trafford,18730,20710,25870,14480,7550,4350,4110,940,..,96750
LAUA,4250,E08000010,Wigan,66690,30980,22840,11470,5570,1770,580,50,..,139940
CTYMET,N/A,E10000017,Lancashire,196410,100770,96540,62600,37000,17550,10100,780,..,521750
