geography,ba_code,ecode,area_name,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,band_i,all_properties
ENGWAL,N/A,K04000001,ENGLAND AND WALES,5507010,4158990,4630350,3101920,1963450,1037940,785340,124540,..,21309540
NATL,N/A,E92000001,ENGLAND,5259410,3843570,4389840,2923620,1819850,986330,750980,120950,..,20094560
REGL,N/A,E12000001,NORTH EAST,662230,149760,147470,66850,33170,16300,9890,1130,..,1086780
LAUA,1355,E06000047,County Durham UA,142930,22760,21850,11420,5860,2760,1730,210,..,209520
LAUA,1350,E06000005,Darlington UA,21440,8430,5250,3550,1790,890,370,90,..,41790
LAUA,0724,E06000001,Hartlepool UA,23800,5550,4660,1970,800,290,170,10,..,37260
LAUA,0734,E06000002,Middlesbrough UA,33920,8460,9430,3500,1620,580,320,40,..,57870
LAUA,2935,E06000057,Northumberland UA,66660,20810,15610,10930,7360,5370,3540,430,..,130710
LAUA,0728,E06000003,Redcar and Cleveland UA,27690,11550,12850,4080,2200,650,370,20,..,59410
LAUA,0738,E06000004,Stockton-on-Tees UA,35260,12900,12080,5720,2920,1230,610,50,..,70760
CTYMET,N/A,E11000007,Tyne and Wear (Met County),310530,59300,65750,25680,10630,4530,2770,290,..,479460
LAUA,4505,E08000037,Gateshead,57940,9950,12220,4100,1680,590,300,40,..,86820
LAUA,4510,E08000021,Newcastle upon Tyne,74910,16220,16890,6570,3300,1530,1360,120,..,120890
LAUA,4515,E08000022,North Tyneside,48570,10030,17090,5540,2300,970,390,40,..,84930
LAUA,4520,E08000023,South Tyneside,45500,8860,6480,3480,1350,670,300,50,..,66690
LAUA,4525,E08000024,Sunderland,83610,14240,13070,5990,2000,770,420,50,..,120140
REGL,N/A,E12000002,NORTH WEST,1274240,531650,493430,257530,145460,76130,56300,5900,..,2840640
LAUA,2372,E06000008,Blackburn with Darwen UA,36260,7000,6920,3050,1440,810,500,80,..,56050
LAUA,2373,E06000009,Blackpool UA,26710,18930,11180,4290,1520,620,320,30,..,63590
LAUA,0660,E06000049,Cheshire East UA,25740,29820,29960,20070,15300,10660,10200,1480,..,143230
LAUA,0665,E06000050,Cheshire West and Chester UA,27650,31420,25780,16220,12020,7500,6750,490,..,127820
LAUA,0650,E06000006,Halton UA,25130,9840,7060,3120,1820,390,190,40,..,47580
LAUA,0655,E06000007,Warrington UA,25000,15770,16660,8480,4500,2820,1590,100,..,74920
CTYMET,N/A,E10000006,Cumbria,86450,40370,34760,24430,14760,7340,4460,500,..,213070
LAUA,0905,E07000026,Allerdale,21510,6210,6050,3960,2200,940,540,50,..,41460
LAUA,0910,E07000027,Barrow-in-Furness,19000,5080,4390,1980,640,190,60,-,..,31340
LAUA,0915,E07000028,Carlisle,21000,10140,5600,3840,1880,750,280,40,..,43520
LAUA,0920,E07000029,Copeland,18650,3990,3380,2270,1240,350,100,10,..,30000
LAUA,0925,E07000030,Eden,2950,5890,4270,3610,2630,1010,400,60,..,20820
LAUA,0930,E07000031,South Lakeland,3340,9050,11060,8770,6180,4120,3080,340,..,45950
CTYMET,N/A,E11000001,Greater Manchester (Met County),541470,185870,177040,83680,43140,19810,14010,1700,..,1066710
LAUA,4205,E08000001,Bolton,58180,16260,16550,8910,3830,1730,1540,230,..,107220
LAUA,4210,E08000002,Bury,27040,15680,15520,7850,4300,1600,1330,200,..,73520
LAUA,4215,E08000003,Manchester,133440,21530,20420,7090,2630,1220,650,90,..,187070
LAUA,4220,E08000004,Oldham,51800,15160,14150,5060,2300,1190,830,70,..,90550
LAUA,4225,E08000005,Rochdale,51590,12050,9960,5880,3230,1200,760,60,..,84720
LAUA,4230,E08000006,Salford,58530,17500,12710,5040,2190,1090,820,100,..,97980
LAUA,4235,E08000007,Stockport,28680,25380,26880,17510,12150,5850,3240,130,..,119830
LAUA,4240,E08000008,Tameside,51780,15060,16970,4550,2260,770,350,30,..,91750
LAUA,4245,E08000009,Trafford,15990,20470,23430,13860,6980,3810,4000,760,..,89300
LAUA,4250,E08000010,Wigan,64430,26780,20450,7950,3300,1350,490,30,..,124770
CTYMET,N/A,E10000017,Lancashire,178830,88910,86310,51960,29340,15140,9950,840,..,461280
LAUA,2315,E07000117,Burnley,26210,3740,5690,2050,960,310,180,20,..,39160
LAUA,2320,E07000118,Chorley,12910,9100,7480,4540,2980,1330,670,60,..,39060
LAUA,2325,E07000119,Fylde,4680,5410,8040,5960,3960,2020,1500,70,..,31630
LAUA,2330,E07000120,Hyndburn,20970,4140,5070,2240,660,280,240,20,..,33620
LAUA,2335,E07000121,Lancaster,18070,13600,10380,5250,3290,1870,760,80,..,53310
LAUA,2340,E07000122,Pendle,23980,4070,3640,2090,1300,800,580,70,..,36530
LAUA,2345,E07000123,Preston,24780,11670,7510,5140,1870,990,920,60,..,52930
LAUA,2350,E07000124,Ribble Valley,2430,4010,4290,3930,2670,1590,1660,270,..,20840
LAUA,2355,E07000125,Rossendale,14210,4600,3290,2720,1490,500,470,60,..,27350
LAUA,2360,E07000126,South Ribble,8040,10790,11160,6070,2700,1210,560,20,..,40530
LAUA,2365,E07000127,West Lancashire,13710,7480,8580,5410,3590,2160,1450,70,..,42450
LAUA,2370,E07000128,Wyre,8840,10310,11200,6570,3880,2060,980,60,..,43880
CTYMET,N/A,E11000002,Merseyside (Met County),301010,103740,97760,42230,21630,11060,8330,620,..,586380
LAUA,4305,E08000011,Knowsley,37480,10280,7890,1950,760,190,120,20,..,58690
LAUA,4310,E08000012,Liverpool,136450,27440,19520,9520,3990,1690,1550,130,..,200280
LAUA,4320,E08000014,Sefton,36030,22910,30070,13700,7580,3680,2980,210,..,117160
LAUA,4315,E08000013,St. Helens,36150,14070,13000,4950,2030,1170,530,20,..,71910
LAUA,4325,E08000015,Wirral,54900,29050,27290,12110,7280,4320,3150,250,..,138340
REGL,N/A,E12000003,YORKSHIRE AND THE HUMBER,972720,398150,335000,160280,99810,52490,34130,3070,..,2055640
LAUA,2001,E06000011,East Riding of Yorkshire UA,35340,29620,24930,17130,10290,4400,2780,240,..,124730
LAUA,2004,E06000010,"Kingston upon Hull, City of UA",82210,18790,6910,1820,580,200,60,40,..,110600
LAUA,2002,E06000012,North East Lincolnshire UA,37150,15530,7800,3200,1250,470,360,40,..,65790
LAUA,2003,E06000013,North Lincolnshire UA,32980,12020,9290,4910,2150,880,390,20,..,62630
LAUA,2741,E06000014,York UA,7650,17930,11380,4140,1940,840,420,30,..,44340
CTYMET,N/A,E10000023,North Yorkshire,36220,56380,66520,38580,30460,19090,13470,1280,..,261990
LAUA,2705,E07000163,Craven,3000,5010,5300,2860,2640,1990,1440,160,..,22380
LAUA,2710,E07000164,Hambleton,2360,7110,7860,5390,4830,3190,2230,160,..,33120
LAUA,2715,E07000165,Harrogate,5360,12000,15920,9320,8060,5630,5080,620,..,61990
LAUA,2720,E07000166,Richmondshire,3050,4120,3970,2640,2650,1380,840,70,..,18720
LAUA,2725,E07000167,Ryedale,2260,8120,13530,6600,4590,2520,1740,110,..,39470
LAUA,2730,E07000168,Scarborough,12620,12500,11930,6080,3680,1820,830,80,..,49520
LAUA,2735,E07000169,Selby,7580,7540,8010,5700,4010,2560,1310,80,..,36790
CTYMET,N/A,E11000003,South Yorkshire (Met County),339280,85630,56670,28790,13420,7010,4090,290,..,535180
LAUA,4405,E08000016,Barnsley,61180,13420,8920,5020,1880,910,470,30,..,91820
LAUA,4410,E08000017,Doncaster,75900,20360,11340,6130,2810,1160,700,100,..,118490
LAUA,4415,E08000018,Rotherham,61370,19110,11770,5590,2400,1270,500,40,..,102040
LAUA,4420,E08000019,Sheffield,140830,32750,24650,12040,6330,3670,2430,130,..,222820
CTYMET,N/A,E11000006,West Yorkshire (Met County),401880,162260,151490,61710,39720,19610,12580,1130,..,850380
LAUA,4705,E08000032,Bradford,86270,37280,34010,12130,8470,4070,3240,290,..,185770
LAUA,4710,E08000033,Calderdale,40500,15230,13590,5530,3810,2190,1090,50,..,81980
LAUA,4715,E08000034,Kirklees,72980,28650,29420,12220,8530,3970,1520,110,..,157400
LAUA,4720,E08000035,Leeds,127870,58670,56510,23960,14430,7920,5970,640,..,295960
LAUA,4725,E08000036,Wakefield,74260,22430,17960,7870,4480,1450,770,50,..,129270
REGL,N/A,E12000004,EAST MIDLANDS,660370,379440,306500,159190,87830,45170,31400,3080,..,1672980
LAUA,1055,E06000015,Derby UA,49760,17270,14970,7030,2950,1200,550,40,..,93760
LAUA,2465,E06000016,Leicester UA,73600,19790,12440,4440,1770,990,600,60,..,113700
LAUA,3060,E06000018,Nottingham UA,78940,17210,11910,4980,1940,950,750,150,..,116830
LAUA,2470,E06000017,Rutland UA,1120,3520,2500,1820,1760,1190,970,120,..,13010
CTYMET,N/A,E10000007,Derbyshire,116940,69530,49680,29220,16390,10020,7790,610,..,300180
LAUA,1005,E07000032,Amber Valley,18610,10710,8310,4630,2200,1290,1610,120,..,47480
LAUA,1010,E07000033,Bolsover,19870,4400,3150,1400,620,280,150,20,..,29890
LAUA,1015,E07000034,Chesterfield,23450,9800,5600,2950,1080,490,200,20,..,43590
LAUA,1045,E07000035,Derbyshire Dales,2490,5700,6830,4650,3910,2720,2480,150,..,28940
LAUA,1025,E07000036,Erewash,19190,12200,6550,4080,1590,690,560,40,..,44890
LAUA,1030,E07000037,High Peak,6440,11680,8050,3770,2720,1870,940,70,..,35540
LAUA,1035,E07000038,North East Derbyshire,17630,7560,6300,3940,2290,1280,940,80,..,40020
LAUA,1040,E07000039,South Derbyshire,9260,7480,4890,3780,1980,1400,910,120,..,29830
CTYMET,N/A,E10000018,Leicestershire,39250,68650,56940,32020,19070,9030,6380,680,..,232020
LAUA,2405,E07000129,Blaby,3750,12370,8170,4780,2900,930,490,10,..,33400
LAUA,2410,E07000130,Charnwood,9960,16230,15890,7870,4310,2050,1470,170,..,57950
LAUA,2415,E07000131,Harborough,3510,5710,6560,4300,3720,2340,1700,220,..,28070
LAUA,2420,E07000132,Hinckley and Bosworth,6590,12720,9580,5430,2870,1400,770,70,..,39430
