DATE,INTGSBGBM193N
1995-01-01,8.6614666666666667
1995-04-01,8.2425666666666667
1995-07-01,8.1089333333333333
1995-10-01,7.7881666666666667
1996-01-01,7.7532000000000000
1996-04-01,8.0671000000000000
1996-07-01,7.8510666666666667
1996-10-01,7.5693666666666667
1997-01-01,7.4019333333333333
1997-04-01,7.3159666666666667
1997-07-01,6.9895333333333333
1997-10-01,6.5029333333333333
1998-01-01,6.0453000000000000
1998-04-01,5.8213333333333333
1998-07-01,5.5178333333333333
1998-10-01,4.8193666666666667
1999-01-01,4.4580333333333333
1999-04-01,4.8901333333333333
1999-07-01,5.4980666666666667
1999-10-01,5.5278666666666667
2000-01-01,5.6093666666666667
2000-04-01,5.3114333333333333
2000-07-01,5.3191000000000000
2000-10-01,5.0760000000000000
2001-01-01,4.7916333333333333
2001-04-01,5.0857333333333333
2001-07-01,5.0589000000000000
2001-10-01,4.7817333333333333
2002-01-01,5.0208000000000000
2002-04-01,5.2003333333333333
2002-07-01,4.7497666666666667
2002-10-01,4.6060666666666667
2003-01-01,4.3091000000000000
2003-04-01,4.2662333333333333
2003-07-01,4.5750000000000000
2003-10-01,4.9560333333333333
2004-01-01,4.7673000000000000
2004-04-01,5.0896000000000000
2004-07-01,5.0087666666666667
2004-10-01,4.6634000000000000
2005-01-01,4.6421000000000000
2005-04-01,4.4412666666666667
2005-07-01,4.2789666666666667
2005-10-01,4.2932333333333333
2006-01-01,4.1824000000000000
2006-04-01,4.6103333333333333
2006-07-01,4.6205666666666667
2006-10-01,4.5934000000000000
2007-01-01,4.8616000000000000
2007-04-01,5.2072666666666667
2007-07-01,5.1837000000000000
2007-10-01,4.7925333333333333
2008-01-01,4.5203000000000000
2008-04-01,4.9072666666666667
2008-07-01,4.7820666666666667
2008-10-01,4.1532666666666667
2009-01-01,3.5365000000000000
2009-04-01,3.5833000000000000
2009-07-01,3.7315333333333333
2009-10-01,3.7387333333333333
2010-01-01,4.0521333333333333
2010-04-01,3.8262000000000000
2010-07-01,3.2896000000000000
2010-10-01,3.3297666666666667
2011-01-01,3.7819333333333333
2011-04-01,3.5605333333333333
2011-07-01,2.8670000000000000
2011-10-01,2.3345000000000000
2012-01-01,2.2175000000000000
2012-04-01,1.9743666666666667
2012-07-01,1.6826666666666667
2012-10-01,1.7976333333333333
2013-01-01,2.0781333333333333
2013-04-01,2.0116333333333333
2013-07-01,2.6747000000000000
2013-10-01,2.7946666666666667
2014-01-01,2.8361333333333333
2014-04-01,2.7416000000000000
2014-07-01,2.5869666666666667
2014-10-01,2.1116333333333333
2015-01-01,1.7065333333333333
2015-04-01,1.9829666666666667
2015-07-01,1.9988666666666667
2015-10-01,1.9157666666666667
2016-01-01,1.6099666666666667
2016-04-01,1.4719666666666667
2016-07-01,0.84110000000000000000
2016-10-01,1.29780000000000000000
2017-01-01,1.30670000000000000000
2017-04-01,1.09366666666666666667
2017-07-01,1.21300000000000000000
2017-10-01,1.32986666666666666667
2018-01-01,1.5015000000000000
2018-04-01,1.4784333333333333
2018-07-01,1.4251000000000000
2018-10-01,1.4376000000000000
2019-01-01,1.25036666666666666667
2019-04-01,1.07986666666666666667
2019-07-01,0.66870000000000000000
2019-10-01,0.74436666666666666667
2020-01-01,0.60580000000000000000
2020-04-01,0.30333333333333333333
2020-07-01,0.25136666666666666667
2020-10-01,0.33726666666666666667
2021-01-01,0.61166666666666666667
2021-04-01,0.87073333333333333333
2021-07-01,0.71473333333333333333
2021-10-01,0.95330000000000000000
